,date,SO2,iter
0,1397/10/11,4.866666667,15
1,1397/10/12,9,15
2,1397/10/13,5.133333333,15
3,1397/10/14,4.133333333,15
4,1397/10/15,8.133333333,15
5,1397/10/16,7.933333333,15
6,1397/10/17,6.466666667,15
7,1397/10/18,5.333333333,15
8,1397/10/19,6,15
9,1397/10/20,4.133333333,15
10,1397/10/21,7.466666667,15
11,1397/10/22,7.133333333,15
12,1397/10/23,9.6,15
13,1397/10/24,7.8,15
14,1397/10/25,5.70886179,15
15,1397/10/26,5.70886179,15
16,1397/10/27,5.70886179,15
17,1397/10/28,5.70886179,15
18,1397/10/29,5.70886179,15
19,1397/10/30,8.266666667,15
20,1397/11/01,8.928571429,14
21,1397/11/02,5.70886179,15
22,1397/11/03,9.666666667,15
23,1397/11/04,8.4,15
24,1397/11/05,6.2,15
25,1397/11/06,5.466666667,15
26,1397/11/07,8.266666667,15
27,1397/11/08,4.533333333,15
28,1397/11/09,3,15
29,1397/11/10,5.466666667,15
30,1397/11/11,5.866666667,15
31,1397/11/12,3.933333333,15
32,1397/11/13,5.133333333,15
33,1397/11/14,3.866666667,15
34,1397/11/15,5,15
35,1397/11/16,6.4,15
36,1397/11/17,6.933333333,15
37,1397/11/18,9.6,15
38,1397/11/19,10.4,15
39,1397/11/20,8.4,15
40,1397/11/21,4.533333333,15
41,1397/11/22,3.533333333,15
42,1397/11/23,4.333333333,15
43,1397/11/24,7.866666667,15
44,1397/11/25,10.73333333,15
45,1397/11/26,7.6,15
46,1397/11/27,3.666666667,15
47,1397/11/28,5.70886179,15
48,1397/11/29,5.133333333,15
49,1397/11/30,5.2,15
50,1397/12/01,6,15
51,1397/12/02,5.70886179,15
52,1397/12/03,5.70886179,15
53,1397/12/04,4.733333333,15
54,1397/12/05,6.066666667,15
55,1397/12/06,4.933333333,15
56,1397/12/07,9.2,15
57,1397/12/08,5.70886179,15
58,1397/12/09,5.70886179,15
59,1397/12/10,5.70886179,15
60,1397/12/11,5.70886179,15
61,1397/12/12,5.70886179,15
62,1397/12/13,7.285714286,14
63,1397/12/14,5.357142857,14
64,1397/12/15,7.714285714,14
65,1397/12/16,5.285714286,14
66,1397/12/17,3.928571429,14
67,1397/12/18,4.285714286,14
68,1397/12/19,10.35714286,14
69,1397/12/20,5.70886179,14
70,1397/12/21,8.357142857,14
71,1397/12/22,7.928571429,14
72,1397/12/23,8.071428571,14
73,1397/12/24,3.153846154,13
74,1397/12/25,4.785714286,14
75,1397/12/26,5.70886179,14
76,1397/12/27,5.70886179,14
77,1397/12/28,5.357142857,14
78,1397/12/29,4.214285714,14
79,1398/01/01,3.571428571,14
80,1398/01/02,3.714285714,14
81,1398/01/03,5.70886179,14
82,1398/01/04,3.214285714,14
83,1398/01/05,2.285714286,14
84,1398/01/06,3.071428571,14
85,1398/01/07,5.70886179,14
86,1398/01/08,5.70886179,14
87,1398/01/09,5.70886179,14
88,1398/01/10,2.785714286,14
89,1398/01/11,3,14
90,1398/01/12,2.428571429,14
91,1398/01/13,2.285714286,14
92,1398/01/14,2.785714286,14
93,1398/01/15,5.70886179,14
94,1398/01/16,5.70886179,14
95,1398/01/17,5.70886179,13
96,1398/01/18,5.70886179,14
97,1398/01/19,5.70886179,14
98,1398/01/20,5.70886179,14
99,1398/01/21,5.70886179,14
100,1398/01/22,5.70886179,14
101,1398/01/23,5.70886179,14
102,1398/01/24,5.70886179,14
103,1398/01/25,5.70886179,15
104,1398/01/26,5.70886179,15
105,1398/01/27,5.70886179,15
106,1398/01/28,5.70886179,15
107,1398/01/29,5.70886179,15
108,1398/01/30,5.70886179,15
109,1398/01/31,5.70886179,15
110,1398/02/01,5.70886179,15
111,1398/02/02,5.70886179,15
112,1398/02/03,5.70886179,15
113,1398/02/04,5.70886179,15
114,1398/02/05,5.70886179,15
115,1398/02/06,5.70886179,15
116,1398/02/07,5.70886179,15
117,1398/02/08,5.70886179,15
118,1398/02/09,5.70886179,15
119,1398/02/10,5.70886179,15
120,1398/02/11,5.70886179,15
121,1398/02/12,5.70886179,15
122,1398/02/13,5.70886179,15
123,1398/02/14,5.70886179,15
124,1398/02/15,5.70886179,15
125,1398/02/16,5.70886179,15
126,1398/02/17,5.70886179,15
127,1398/02/18,5.70886179,15
128,1398/02/19,5.70886179,15
129,1398/02/20,5.70886179,15
130,1398/02/21,5.70886179,15
131,1398/02/22,5.70886179,15
132,1398/02/23,5.70886179,15
133,1398/02/24,5.70886179,15
134,1398/02/25,5.70886179,15
135,1398/02/26,5.70886179,15
136,1398/02/27,5.70886179,15
137,1398/02/28,5.70886179,15
138,1398/02/29,5.70886179,15
139,1398/02/30,5.70886179,15
140,1398/02/31,5.70886179,15
141,1398/03/01,5.70886179,15
142,1398/03/02,5.70886179,15
143,1398/03/03,5.70886179,15
144,1398/03/04,5.70886179,15
145,1398/03/05,5.70886179,15
146,1398/03/06,5.70886179,15
147,1398/03/07,5.70886179,15
148,1398/03/08,5.70886179,15
149,1398/03/09,5.70886179,15
150,1398/03/10,5.70886179,15
151,1398/03/11,5.70886179,15
152,1398/03/12,5.70886179,15
153,1398/03/13,5.70886179,15
154,1398/03/14,5.70886179,15
155,1398/03/15,5.70886179,15
156,1398/03/16,5.70886179,15
157,1398/03/17,5.70886179,14
158,1398/03/18,5.70886179,15
159,1398/03/19,5.70886179,15
160,1398/03/20,5.70886179,15
161,1398/03/21,5.70886179,15
162,1398/03/22,5.70886179,15
163,1398/03/23,5.70886179,15
164,1398/03/24,5.70886179,15
165,1398/03/25,5.70886179,15
166,1398/03/26,5.70886179,15
167,1398/03/27,5.70886179,15
168,1398/03/28,5.70886179,15
169,1398/03/29,5.70886179,15
170,1398/03/30,5.70886179,15
171,1398/03/31,5.70886179,15
172,1398/04/01,5.70886179,15
173,1398/04/02,5.70886179,15
174,1398/04/03,5.70886179,15
175,1398/04/04,5.70886179,15
176,1398/04/05,5.70886179,15
177,1398/04/06,5.70886179,15
178,1398/04/07,5.70886179,14
179,1398/04/08,5.70886179,14
180,1398/04/09,5.70886179,13
181,1398/04/10,5.70886179,13
182,1398/04/11,5.70886179,13
183,1398/04/12,5.70886179,13
184,1398/04/13,5.70886179,14
185,1398/04/14,5.70886179,13
