chainage,0.0
-15.04,1322.895
-13.995,1322.91
-11.668,1322.908
-9.785,1322.871
-8.009,1322.874
-6.8,1322.91
-5.802,1322.947
-4.801,1323.002
-3.605,1323.054
-3.028,1323.045
-1.757,1323.068
0,1323.035
1.594,1323.035
3.589,1322.991
4.284,1322.977
5.214,1322.97
5.782,1322.994
6.123,1323.013
7.154,1323.013
7.719,1322.999
8.25,1322.923
8.973,1322.622
9.588,1322.42
10.576,1322.164
11.237,1321.871
11.932,1321.448
12.825,1320.97
13.372,1320.62
13.994,1320.442
14.449,1320.431
14.988,1320.447
chainage,10.0
-12.964,1322.604
-9.954,1322.652
-7.829,1322.718
-6.613,1322.745
-4.781,1322.825
-3.506,1322.911
-3.165,1322.945
-2.562,1322.934
0,1322.907
3.03,1322.915
3.854,1322.893
5.032,1322.865
5.326,1322.856
6.394,1322.885
6.987,1322.876
7.451,1322.806
8.58,1322.522
9.961,1322.031
10.61,1321.752
11.447,1321.408
12.479,1320.88
13.514,1320.542
14.214,1320.364
14.95,1320.289
chainage,20.0
-14.98,1322.304
-12.154,1322.359
-10.623,1322.433
-8.479,1322.501
-6.355,1322.572
-4.947,1322.694
-4.122,1322.736
-3.619,1322.74
-2.37,1322.717
0,1322.763
1.303,1322.679
3.395,1322.69
4.07,1322.671
4.595,1322.659
5.601,1322.638
6.629,1322.671
7.552,1322.554
8.157,1322.418
10.823,1321.362
12.716,1320.41
14.82,1320.245
chainage,30.0
-15.064,1322.123
-11.888,1322.231
-8.274,1322.385
-6.56,1322.515
-5.065,1322.483
-4.479,1322.523
-2.288,1322.544
0,1322.551
1.42,1322.567
2.94,1322.532
3.863,1322.515
5.44,1322.526
6.033,1322.464
6.59,1322.381
7.437,1322.092
9.911,1321.221
11.822,1320.343
12.8,1320.206
14.919,1320.219
chainage,40.0
-15.045,1321.983
-11.586,1322.091
-7.566,1322.293
-6.683,1322.335
-4.676,1322.348
-3.049,1322.389
0,1322.36
2.521,1322.358
4.552,1322.377
5.409,1322.239
7.758,1321.622
9.602,1321.112
11.745,1320.301
13.099,1320.225
15.062,1320.398
chainage,50.0
-14.769,1321.847
-12.465,1321.972
-8.89,1322.135
-5.225,1322.181
-2.962,1322.241
0,1322.234
0.704,1322.22
2.555,1322.235
3.646,1322.274
4.994,1321.826
7.448,1320.802
11.379,1320.289
15.045,1320.754
chainage,60.0
-15.098,1321.697
-13.059,1321.857
-10.616,1321.919
-8.082,1321.983
-5.151,1322.045
-2.97,1322.047
-0.937,1321.949
0,1321.966
2.191,1321.871
3.86,1321.421
5.35,1321.041
6.216,1320.639
7.21,1320.326
11.508,1320.472
14.853,1321.158
chainage,70.0
-14.956,1321.65
-13.986,1321.687
-12.466,1321.76
-11.542,1321.766
-7.971,1321.851
-4.639,1321.844
-3.65,1321.816
-2.592,1321.793
-0.858,1321.816
-0.597,1321.811
0,1321.799
1.352,1321.474
3.621,1320.825
6.08,1320.151
9.419,1320.458
12.637,1321.036
14.263,1321.522
15.074,1321.88
chainage,80.0
-15.024,1321.52
-14.361,1321.56
-12.509,1321.584
-11.8,1321.577
-7.526,1321.653
-5.362,1321.669
-4.144,1321.638
-3.221,1321.726
-2.506,1321.836
-1.726,1321.88
0,1321.313
3.364,1320.223
6.605,1320.262
9.912,1320.787
12.229,1321.422
13.583,1322.102
14.79,1322.922
chainage,90.0
-14.994,1321.452
-13.424,1321.474
-10.914,1321.475
-8.834,1321.435
-7.932,1321.422
-6.495,1321.499
-5.314,1321.529
-4.842,1321.538
-3.618,1321.624
-2.495,1321.375
0,1320.798
2.46,1319.986
5.046,1320.185
7.525,1320.546
11.421,1321.828
13.1,1322.821
15.109,1324.326
chainage,100.0
-15.103,1321.311
-14.709,1321.316
-12.612,1321.329
-9.856,1321.329
-7.376,1321.347
-6.756,1321.378
-5.765,1321.392
-4.881,1321.354
-2.731,1320.811
0,1319.882
4.4,1320.165
8.018,1320.933
9.509,1321.579
12.588,1323.639
14.801,1325.174
chainage,110.0
-14.954,1321.37
-11.119,1321.346
-8.241,1321.393
-7.51,1321.325
-5.161,1320.658
-3.143,1319.899
0,1319.545
2.932,1319.859
5.851,1320.505
7.19,1321.138
10.696,1323.562
13.299,1325.27
14.926,1326.45
chainage,120.0
-14.966,1321.067
-12.561,1321.034
-10.936,1321.038
-10.375,1321.08
-9.252,1321.165
-8.245,1320.913
-6.706,1320.339
-5.307,1319.722
-2.673,1319.293
0,1319.477
2.451,1319.811
3.555,1320.124
4.452,1320.636
8.26,1323.245
11.496,1325.45
14.981,1328.111
chainage,130.0
-15.026,1320.993
-13.17,1320.953
-11.645,1320.979
-10.745,1320.857
-7.797,1319.816
-5.35,1319.345
-2.959,1319.406
0,1319.648
1.599,1319.796
3.682,1320.279
4.705,1320.859
7.396,1322.617
10.027,1324.457
12.267,1326.036
14.988,1327.946
chainage,140.0
-14.934,1320.866
-14.508,1320.917
-13.976,1320.957
-11.268,1320.298
-8.956,1319.258
-6.315,1319.222
-4.175,1319.318
-1.808,1319.505
0,1319.628
2.064,1319.735
4.062,1319.859
6.003,1320.08
7.047,1320.258
8.118,1320.642
9.473,1321.367
10.66,1322.093
11.439,1322.46
11.915,1322.746
13.046,1323.397
15.024,1324.423
chainage,150.0
-14.987,1318.864
-12.605,1318.944
-10.339,1318.971
-6.557,1319.294
-4.305,1319.469
-2.623,1319.559
0,1319.645
1.686,1319.734
3.569,1319.929
6.009,1320.93
7.304,1321.379
8.675,1322.065
9.922,1322.591
11.424,1323.185
12.703,1323.175
14.936,1323.717
chainage,160.0
-15.001,1319.201
-13.418,1319.148
-10.408,1319.385
-7.795,1319.58
-3.915,1319.985
-1.895,1320.573
0,1321.493
2.462,1322.696
4.757,1323.209
7.015,1323.593
8.914,1323.684
11.212,1323.754
13.191,1323.935
15.053,1323.989
chainage,164.21
-14.843,1319.716
-13.417,1319.88
-11.906,1320.208
-10.985,1320.775
-10.66,1320.862
-10.24,1321.15
-9.875,1321.391
-7.647,1322.054
-3.868,1322.858
0,1323.601
1.339,1323.712
4.428,1323.698
5.272,1323.684
8.186,1323.889
9.83,1323.767
11.599,1323.727
13.561,1323.691
14.992,1323.745
