chainage	0.0
-15.0	1318.834
-10.492	1320.385
-9.632	1320.732
-9.262	1320.839
-8.382	1320.964
-7.685	1320.901
-6.211	1320.848
-3.03	1320.785
0	1320.774
3.675	1320.766
5.735	1320.726
9.94	1320.732
13.362	1320.673
14.024	1320.687
14.993	1320.664
chainage	10.0
-14.995	1318.969
-12.153	1318.776
-8.176	1318.762
-6.902	1318.991
-3.932	1320.403
-1.849	1320.873
-0.163	1320.814
0	1320.819
0.485	1320.836
1.945	1320.82
4.098	1320.833
6.461	1320.848
9.777	1320.781
10.142	1320.78
11.75	1320.777
13.517	1320.832
15.036	1320.822
chainage	20.0
-14.823	1319.445
-10.55	1319.18
-7.258	1318.998
-4.855	1319.009
-3.537	1319.204
-1.614	1320.166
0	1320.817
0.543	1320.906
0.786	1320.957
1.252	1320.929
1.443	1320.924
2.599	1320.853
4.356	1320.835
5.138	1320.858
6.917	1320.875
10.609	1320.87
11.914	1320.816
14.968	1320.845
chainage	30.0
-14.854	1319.745
-11.492	1319.593
-8.14	1319.366
-6.127	1319.25
-3.622	1319.342
-1.663	1320.209
0	1320.717
1.2	1320.928
1.823	1320.933
2.883	1320.853
4.013	1320.879
6.532	1320.943
9.442	1320.896
12.129	1320.861
15.036	1320.86
chainage	40.0
-14.195	1319.979
-9.042	1319.439
-6.185	1319.341
-3.705	1320.015
-1.306	1320.895
0	1321.162
1.174	1320.996
3.288	1320.973
5.964	1320.995
8.721	1320.975
10.872	1320.964
12.478	1320.946
15.178	1320.83
chainage	50.0
-15.046	1320.116
-11.972	1319.45
-7.899	1319.333
-4.414	1320.665
-2.414	1321.199
-1.513	1321.103
0	1321.031
1.966	1321.072
5.136	1321.09
8.431	1321.045
11.924	1320.997
13.143	1320.965
15.088	1320.893
chainage	60.0
-15.009	1319.98
-11.987	1319.627
-8.454	1320.199
-5.602	1321.02
-4.591	1321.35
-3.945	1321.37
-3.051	1321.387
0	1321.34
2.076	1321.384
3.697	1321.359
6.111	1321.361
10.057	1321.38
13.337	1321.336
15.157	1320.963
chainage	70.0
-14.957	1320.061
-11.575	1320.019
-8.056	1321.108
-6.269	1321.451
-4.812	1321.414
-3.456	1321.375
0	1321.349
2.45	1321.343
4.871	1321.319
5.867	1321.285
8.005	1321.283
11.456	1321.18
14.84	1321.014
chainage	80.0
-14.941	1320.067
-10.862	1321.06
-8.829	1321.532
-7.878	1321.551
-6.476	1321.517
-4.169	1321.504
