Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/9/2024 1:03:22 PM,,,,
,,,,
,,,,
Alignment Name: massir baskol,,,,
Description:,,,,
"Station Range: Start: -0+000.00, End: 1+416.34",,,,
,,,,
Point,Station,Offset,Elevation,Description
584,0+879.95,1.208m,"1,374.611m",
585,0+879.99,1.738m,"1,374.758m",
586,0+879.94,3.123m,"1,374.724m",
587,0+879.95,-3.766m,"1,374.482m",
588,0+879.98,-4.423m,"1,374.732m",
589,0+879.99,-5.310m,"1,374.657m",
590,0+880.03,-7.404m,"1,374.392m",
591,0+880.03,-10.212m,"1,374.351m",
592,0+880.00,-10.697m,"1,374.250m",
593,0+880.01,-11.132m,"1,374.251m",
594,0+879.95,-12.357m,"1,374.557m",
595,0+880.07,-14.323m,"1,374.585m",
596,0+879.84,-15.383m,"1,374.501m",
597,0+899.91,15.121m,"1,376.009m",
598,0+899.94,9.892m,"1,376.048m",
599,0+900.06,8.068m,"1,376.079m",
600,0+900.00,6.768m,"1,375.755m",
601,0+899.95,5.066m,"1,375.474m",
602,0+899.99,5.551m,"1,375.682m",
603,0+900.06,0.034m,"1,375.529m",
604,0+899.88,-3.751m,"1,375.493m",
605,0+899.89,-4.782m,"1,375.741m",
606,0+900.07,-7.556m,"1,375.533m",
607,0+899.85,-10.093m,"1,375.551m",
608,0+899.99,-11.990m,"1,376.826m",
609,0+899.79,-14.672m,"1,377.002m",
610,0+899.52,-17.365m,"1,376.880m",
611,0+920.56,33.738m,"1,377.022m",
612,0+919.50,29.833m,"1,376.752m",
613,0+919.85,22.865m,"1,377.237m",
614,0+919.99,15.386m,"1,377.232m",
615,0+919.84,9.097m,"1,377.064m",
616,0+919.95,5.506m,"1,376.853m",
617,0+920.00,4.812m,"1,376.885m",
618,0+919.94,3.960m,"1,376.583m",
619,0+919.95,0.028m,"1,376.481m",
620,0+919.88,-3.917m,"1,376.513m",
621,0+919.95,-5.031m,"1,376.823m",
622,0+919.85,-6.476m,"1,376.661m",
623,0+919.96,-8.058m,"1,376.591m",
624,0+919.93,-10.107m,"1,376.618m",
625,0+919.95,-10.931m,"1,376.820m",
626,0+920.06,-11.488m,"1,377.095m",
627,0+919.99,-12.487m,"1,377.028m",
628,0+919.93,-13.329m,"1,377.166m",
629,0+919.95,-14.202m,"1,377.315m",
630,0+920.00,-14.491m,"1,377.302m",
631,0+919.91,-14.914m,"1,377.247m",
632,0+919.45,-17.481m,"1,377.129m",
633,0+919.31,-22.825m,"1,377.724m",
634,0+919.24,-25.599m,"1,377.842m",
635,0+919.03,-28.209m,"1,377.779m",
636,0+919.01,-30.829m,"1,377.784m",
637,0+918.50,-33.852m,"1,377.573m",
638,0+918.41,-35.523m,"1,377.562m",
639,0+918.26,-37.277m,"1,377.326m",
640,0+941.79,51.948m,"1,370.261m",
641,0+940.46,40.404m,"1,377.893m",
642,0+940.06,28.166m,"1,377.973m",
643,0+939.99,20.968m,"1,377.852m",
644,0+939.97,14.913m,"1,378.087m",
645,0+939.85,7.481m,"1,378.026m",
646,0+939.84,4.454m,"1,377.936m",
647,0+940.07,3.354m,"1,377.652m",
648,0+940.02,0.093m,"1,377.551m",
649,0+940.02,-4.522m,"1,377.613m",
650,0+939.90,-5.476m,"1,377.889m",
651,0+939.79,-9.696m,"1,377.757m",
652,0+939.77,-13.482m,"1,378.257m",
653,0+939.91,-14.998m,"1,378.286m",
654,0+940.04,-18.836m,"1,378.423m",
655,0+940.07,-25.730m,"1,378.641m",
656,0+939.08,-34.796m,"1,378.565m",
657,0+938.90,-41.910m,"1,378.430m",
658,0+936.64,-57.273m,"1,368.817m",
659,0+963.43,64.323m,"1,370.666m",
660,0+962.82,52.507m,"1,371.038m",
661,0+961.83,40.182m,"1,378.842m",
662,0+961.59,36.138m,"1,378.943m",
663,0+960.02,15.405m,"1,379.037m",
664,0+960.12,0.292m,"1,378.594m",
665,0+959.86,2.690m,"1,379.094m",
666,0+959.88,7.329m,"1,379.079m",
667,0+959.87,-5.452m,"1,378.669m",
668,0+959.87,-6.225m,"1,378.996m",
669,0+959.96,-7.576m,"1,378.815m",
670,0+959.91,-12.743m,"1,378.853m",
671,0+960.20,-15.464m,"1,379.382m",
672,0+960.07,-20.384m,"1,379.097m",
673,0+959.49,-25.996m,"1,379.133m",
674,0+957.80,-31.987m,"1,379.376m",
675,0+957.53,-36.851m,"1,379.158m",
676,0+957.13,-40.561m,"1,379.146m",
677,0+955.84,-55.036m,"1,370.153m",
678,0+978.81,66.627m,"1,370.684m",
679,0+979.15,52.369m,"1,371.049m",
680,0+979.06,39.588m,"1,379.637m",
681,0+978.91,37.068m,"1,379.284m",
682,0+980.08,15.441m,"1,380.023m",
683,0+980.01,20.881m,"1,379.871m",
684,0+979.91,26.999m,"1,379.775m",
685,0+979.05,33.681m,"1,379.575m",
686,0+979.93,11.570m,"1,380.158m",
687,0+979.92,7.733m,"1,380.084m",
688,0+979.96,5.011m,"1,380.208m",
689,0+979.98,3.908m,"1,379.735m",
690,0+979.96,2.835m,"1,379.768m",
691,0+979.94,2.020m,"1,379.537m",
692,0+979.97,-5.718m,"1,379.631m",
693,0+979.97,-6.472m,"1,379.884m",
694,0+980.03,-8.176m,"1,379.743m",
695,0+979.99,-11.925m,"1,379.787m",
696,0+980.01,-15.028m,"1,379.747m",
697,0+979.95,-17.853m,"1,379.798m",
698,0+978.93,-21.860m,"1,379.925m",
699,0+979.16,-28.865m,"1,380.179m",
700,0+978.52,-35.095m,"1,379.977m",
701,0+978.20,-38.930m,"1,379.901m",
702,0+981.73,-59.377m,"1,371.501m",
703,0+980.26,-64.605m,"1,369.549m",
704,0+999.46,57.540m,"1,371.581m",
705,0+999.46,52.060m,"1,371.696m",
706,1+000.03,37.372m,"1,380.988m",
707,0+999.73,24.460m,"1,380.538m",
708,0+999.89,15.133m,"1,380.747m",
709,0+999.98,3.653m,"1,381.073m",
710,0+999.95,2.720m,"1,381.120m",
711,0+999.93,1.730m,"1,380.503m",
712,0+999.96,-0.006m,"1,380.359m",
713,0+979.97,0.076m,"1,379.540m",
714,0+999.95,-6.216m,"1,380.548m",
715,0+999.94,-6.914m,"1,380.709m",
716,1+000.04,-8.552m,"1,380.549m",
717,0+999.93,-13.706m,"1,380.486m",
718,1+000.08,-14.873m,"1,380.516m",
719,0+999.68,-19.203m,"1,380.776m",
720,0+999.45,-22.613m,"1,380.828m",
721,0+999.62,-28.353m,"1,380.880m",
722,0+999.27,-33.467m,"1,381.145m",
723,0+997.73,-42.449m,"1,380.759m",
724,0+998.99,-52.177m,"1,375.904m",
725,1+020.63,36.219m,"1,381.875m",
726,1+020.11,23.987m,"1,381.897m",
727,1+019.79,15.122m,"1,381.851m",
728,1+020.07,3.637m,"1,381.539m",
729,1+020.01,2.728m,"1,381.637m",
730,1+019.90,9.705m,"1,381.786m",
731,1+019.96,1.851m,"1,381.332m",
732,1+019.98,0.025m,"1,381.334m",
733,1+019.98,-6.823m,"1,381.620m",
734,1+019.94,-8.511m,"1,381.635m",
735,1+020.01,-13.696m,"1,381.471m",
736,1+019.95,-17.883m,"1,381.501m",
737,1+019.09,-27.801m,"1,381.531m",
738,1+019.62,-45.438m,"1,381.668m",
739,1+018.12,-55.321m,"1,375.635m",
740,1+040.60,33.607m,"1,382.841m",
741,1+039.78,15.076m,"1,382.714m",
742,1+039.85,6.031m,"1,382.608m",
743,1+040.00,3.066m,"1,382.623m",
744,1+039.95,2.232m,"1,382.752m",
745,1+040.04,0.881m,"1,382.487m",
746,1+039.98,-0.008m,"1,382.467m",
747,1+039.96,-6.951m,"1,382.408m",
748,1+040.01,-7.902m,"1,382.707m",
749,1+039.85,-9.091m,"1,382.510m",
750,1+039.93,-14.741m,"1,382.519m",
751,1+038.51,-20.911m,"1,382.404m",
752,1+038.57,-30.140m,"1,382.452m",
753,1+037.15,-42.961m,"1,381.871m",
754,1+037.28,-51.409m,"1,376.299m",
755,1+061.19,44.803m,"1,375.936m",
756,1+060.25,33.129m,"1,383.907m",
757,1+059.40,20.814m,"1,383.906m",
758,1+059.80,14.828m,"1,383.922m",
759,1+060.04,3.105m,"1,383.442m",
760,1+060.04,1.945m,"1,383.624m",
761,1+059.97,0.135m,"1,383.354m",
762,1+059.89,0.848m,"1,383.366m",
763,1+060.02,-7.460m,"1,383.437m",
764,1+059.96,-8.369m,"1,383.641m",
765,1+059.98,-13.124m,"1,383.469m",
766,1+059.96,-14.934m,"1,383.451m",
767,1+059.84,-20.741m,"1,382.760m",
768,1+060.34,-27.378m,"1,382.617m",
769,1+059.96,-35.550m,"1,382.863m",
770,1+059.71,-40.749m,"1,382.908m",
771,1+059.54,-41.772m,"1,382.738m",
772,1+058.88,-49.100m,"1,379.533m",
773,1+080.28,43.544m,"1,376.857m",
774,1+079.87,32.045m,"1,384.553m",
775,1+079.55,19.997m,"1,384.679m",
776,1+079.95,14.902m,"1,384.676m",
777,1+080.02,2.889m,"1,384.354m",
778,1+079.94,1.713m,"1,384.563m",
779,1+079.93,0.615m,"1,384.240m",
780,1+079.97,0.028m,"1,384.227m",
781,1+079.95,-7.947m,"1,384.325m",
782,1+080.01,-9.262m,"1,384.442m",
783,1+079.94,-8.496m,"1,384.465m",
784,1+079.93,-11.899m,"1,384.328m",
785,1+079.95,-15.047m,"1,384.310m",
786,1+079.87,-16.452m,"1,384.452m",
787,1+080.08,-23.693m,"1,383.211m",
788,1+080.13,-29.264m,"1,382.909m",
789,1+079.59,-37.735m,"1,383.705m",
790,1+078.77,-43.720m,"1,383.146m",
791,1+077.91,-51.631m,"1,379.764m",
792,1+102.16,43.057m,"1,378.229m",
793,1+100.40,31.206m,"1,385.604m",
794,1+100.15,21.246m,"1,385.523m",
795,1+099.98,15.127m,"1,385.744m",
796,1+099.99,2.476m,"1,385.462m",
797,1+099.99,1.625m,"1,385.674m",
798,1+100.00,0.028m,"1,385.230m",
799,1+100.00,-1.067m,"1,385.141m",
800,1+099.96,-7.963m,"1,385.057m",
801,1+099.96,-8.528m,"1,385.319m",
802,1+099.98,-9.967m,"1,385.126m",
803,1+099.92,-14.683m,"1,385.044m",
804,1+099.88,-17.261m,"1,385.096m",
805,1+099.74,-18.066m,"1,385.036m",
806,1+099.57,-20.762m,"1,384.658m",
807,1+099.35,-22.768m,"1,384.643m",
808,1+098.98,-26.220m,"1,384.556m",
809,1+098.90,-29.685m,"1,384.550m",
810,1+098.61,-33.153m,"1,384.459m",
811,1+098.39,-36.262m,"1,384.584m",
812,1+121.57,43.490m,"1,379.364m",
813,1+122.19,40.547m,"1,380.663m",
814,1+120.99,32.024m,"1,386.520m",
815,1+119.96,15.091m,"1,386.615m",
816,1+120.01,2.816m,"1,386.557m",
817,1+119.95,1.675m,"1,386.731m",
818,1+120.00,0.048m,"1,386.307m",
819,1+119.97,0.510m,"1,386.319m",
820,1+119.97,-7.832m,"1,386.321m",
821,1+120.00,-8.604m,"1,386.512m",
822,1+120.01,-10.041m,"1,386.381m",
823,1+119.93,-15.053m,"1,386.192m",
824,1+119.38,-17.528m,"1,386.270m",
825,1+119.30,-18.525m,"1,386.389m",
826,1+119.40,-24.697m,"1,385.629m",
827,1+119.48,-27.121m,"1,386.170m",
828,1+119.27,-29.732m,"1,385.604m",
829,1+119.17,-32.183m,"1,385.290m",
830,1+119.53,-40.097m,"1,379.966m",
831,1+137.73,44.341m,"1,380.146m",
832,1+137.40,41.035m,"1,381.153m",
833,1+137.79,31.554m,"1,387.151m",
834,1+139.63,14.951m,"1,387.441m",
835,1+138.33,27.472m,"1,387.440m",
836,1+139.96,2.761m,"1,387.312m",
837,1+140.02,1.203m,"1,387.412m",
838,1+139.92,-0.031m,"1,387.265m",
839,1+139.90,-7.724m,"1,387.333m",
840,1+139.83,-15.059m,"1,387.315m",
841,1+139.85,-18.800m,"1,387.242m",
842,1+140.06,-20.770m,"1,387.117m",
843,1+140.13,-22.384m,"1,387.423m",
844,1+140.10,-23.317m,"1,387.531m",
845,1+140.15,-33.784m,"1,380.564m",
846,1+159.80,41.778m,"1,380.886m",
847,1+159.81,37.702m,"1,381.882m",
848,1+159.57,34.620m,"1,383.770m",
849,1+159.41,33.845m,"1,384.645m",
850,1+159.56,31.291m,"1,387.055m",
851,1+159.56,30.399m,"1,388.273m",
852,1+159.63,25.629m,"1,388.443m",
853,1+159.82,14.503m,"1,388.598m",
854,1+159.89,6.639m,"1,388.483m",
855,1+159.96,2.318m,"1,388.610m",
856,1+159.97,1.655m,"1,388.790m",
857,1+159.96,0.505m,"1,388.467m",
858,1+159.99,-0.012m,"1,388.456m",
859,1+159.92,-7.722m,"1,388.626m",
860,1+159.98,-8.398m,"1,388.813m",
861,1+160.01,-14.763m,"1,388.546m",
862,1+160.25,-20.642m,"1,388.536m",
863,1+160.00,-22.643m,"1,389.187m",
864,1+159.22,-34.563m,"1,380.944m",
865,1+180.53,36.493m,"1,383.003m",
866,1+179.99,32.333m,"1,386.951m",
867,1+179.92,30.589m,"1,389.753m",
868,1+179.59,14.884m,"1,389.712m",
869,1+179.98,2.358m,"1,389.742m",
870,1+179.94,1.668m,"1,389.912m",
871,1+179.97,0.143m,"1,389.635m",
872,1+179.98,0.532m,"1,389.643m",
873,1+179.94,-7.602m,"1,389.754m",
874,1+180.00,-10.725m,"1,389.875m",
875,1+179.95,-8.630m,"1,390.043m",
876,1+180.02,-14.889m,"1,389.791m",
877,1+179.76,-18.121m,"1,389.915m",
878,1+179.78,-18.640m,"1,390.112m",
879,1+179.60,-22.236m,"1,390.051m",
880,1+179.24,-24.844m,"1,390.905m",
881,1+178.31,-33.778m,"1,384.840m",
882,1+199.51,38.853m,"1,382.555m",
883,1+200.79,29.691m,"1,387.561m",
884,1+200.86,28.578m,"1,390.709m",
885,1+200.57,31.325m,"1,385.782m",
886,1+199.92,15.358m,"1,390.911m",
887,1+199.97,2.439m,"1,390.988m",
888,1+199.94,1.625m,"1,391.206m",
889,1+199.97,-0.022m,"1,390.870m",
890,1+200.00,0.395m,"1,390.905m",
891,1+200.02,-7.539m,"1,390.876m",
892,1+199.94,-8.414m,"1,391.128m",
893,1+199.97,-11.588m,"1,391.034m",
894,1+199.89,-16.271m,"1,390.994m",
895,1+200.21,-18.283m,"1,391.024m",
896,1+200.05,-19.631m,"1,391.453m",
897,1+200.02,-20.640m,"1,391.192m",
898,1+199.53,-26.857m,"1,391.646m",
899,1+200.29,-31.465m,"1,391.727m",
900,1+199.94,-33.253m,"1,391.570m",
901,1+199.17,-43.954m,"1,384.817m",
902,1+220.39,28.810m,"1,391.852m",
903,1+219.89,14.860m,"1,392.170m",
904,1+219.68,5.172m,"1,392.297m",
905,1+220.02,2.571m,"1,391.872m",
906,1+220.05,1.461m,"1,392.177m",
907,1+220.00,-0.001m,"1,391.783m",
908,1+219.92,-1.378m,"1,391.713m",
909,1+220.01,-7.481m,"1,391.716m",
910,1+219.95,-8.268m,"1,391.971m",
911,1+219.95,-11.434m,"1,391.955m",
912,1+219.86,-14.996m,"1,392.021m",
913,1+219.54,-18.820m,"1,392.124m",
914,1+219.48,-20.212m,"1,392.681m",
915,1+219.43,-21.514m,"1,392.428m",
916,1+219.33,-26.433m,"1,392.576m",
917,1+219.27,-27.574m,"1,393.033m",
918,1+219.30,-28.844m,"1,392.919m",
919,1+218.68,-33.857m,"1,392.777m",
920,1+239.90,27.986m,"1,393.508m",
921,1+239.90,14.722m,"1,393.135m",
922,1+239.92,2.585m,"1,392.800m",
923,1+239.97,1.605m,"1,393.020m",
924,1+239.96,0.022m,"1,392.668m",
925,1+239.98,-1.464m,"1,392.552m",
926,1+239.96,-7.917m,"1,392.707m",
927,1+239.99,-8.775m,"1,392.868m",
928,1+240.01,-9.747m,"1,392.889m",
929,1+239.81,-12.213m,"1,392.845m",
930,1+239.87,-15.523m,"1,392.894m",
931,1+239.29,-20.406m,"1,393.169m",
932,1+238.64,-26.332m,"1,393.369m",
933,1+238.28,-27.861m,"1,393.784m",
934,1+261.37,35.258m,"1,386.778m",
935,1+261.24,29.988m,"1,388.593m",
936,1+260.98,27.652m,"1,394.212m",
937,1+260.41,18.144m,"1,394.194m",
938,1+260.86,21.963m,"1,394.449m",
939,1+260.13,15.101m,"1,394.307m",
940,1+260.06,8.831m,"1,394.357m",
941,1+259.97,6.168m,"1,394.229m",
942,1+259.96,2.765m,"1,393.891m",
943,1+259.95,1.897m,"1,394.118m",
944,1+259.94,0.045m,"1,393.695m",
945,1+259.94,-7.811m,"1,393.796m",
946,1+259.95,-8.234m,"1,393.865m",
947,1+259.96,-8.756m,"1,393.910m",
948,1+259.97,-9.870m,"1,393.845m",
949,1+259.98,-14.688m,"1,393.787m",
950,1+259.80,-18.548m,"1,393.882m",
951,1+259.83,-21.291m,"1,393.909m",
952,1+259.70,-22.533m,"1,394.337m",
953,1+259.58,-23.641m,"1,394.368m",
954,1+280.10,22.170m,"1,395.506m",
955,1+279.95,14.979m,"1,395.457m",
956,1+279.95,9.843m,"1,395.636m",
957,1+279.89,5.249m,"1,395.557m",
958,1+279.94,3.051m,"1,394.970m",
959,1+280.03,2.224m,"1,394.962m",
960,1+279.97,1.112m,"1,394.718m",
961,1+280.02,0.017m,"1,394.690m",
962,1+279.91,-7.806m,"1,394.978m",
963,1+279.84,-10.548m,"1,394.989m",
964,1+280.02,-8.903m,"1,395.189m",
965,1+279.89,-14.079m,"1,395.035m",
966,1+279.77,-17.546m,"1,395.254m",
967,1+279.81,-20.504m,"1,395.288m",
968,1+300.26,27.341m,"1,396.672m",
969,1+299.72,17.559m,"1,396.437m",
970,1+299.90,18.839m,"1,396.520m",
971,1+299.93,15.230m,"1,396.448m",
972,1+300.08,10.385m,"1,396.578m",
973,1+299.93,6.970m,"1,396.593m",
974,1+299.93,2.618m,"1,395.980m",
975,1+300.01,1.412m,"1,396.140m",
976,1+300.00,0.009m,"1,395.975m",
977,1+299.97,-7.076m,"1,396.152m",
978,1+299.95,-9.009m,"1,396.351m",
979,1+299.81,-12.317m,"1,396.358m",
980,1+299.99,-14.550m,"1,396.493m",
981,1+320.61,30.709m,"1,397.839m",
982,1+320.15,19.357m,"1,397.507m",
983,1+319.79,14.759m,"1,397.487m",
984,1+320.07,9.427m,"1,397.725m",
985,1+319.92,4.408m,"1,397.562m",
986,1+319.95,2.170m,"1,397.377m",
987,1+320.00,1.278m,"1,397.563m",
988,1+319.97,-0.005m,"1,397.341m",
989,1+319.93,-6.424m,"1,397.399m",
990,1+319.90,-7.357m,"1,397.754m",
991,1+319.92,-8.834m,"1,397.559m",
992,1+319.96,-12.193m,"1,397.732m",
993,1+319.92,-14.927m,"1,397.847m",
994,1+319.74,-17.972m,"1,397.847m",
995,1+340.51,24.752m,"1,398.740m",
996,1+339.89,18.868m,"1,398.751m",
997,1+340.03,15.054m,"1,398.674m",
998,1+340.07,11.115m,"1,398.520m",
999,1+339.97,6.009m,"1,398.585m",
1000,1+339.95,4.678m,"1,399.180m",
1001,1+340.00,2.400m,"1,398.829m",
1002,1+339.94,0.141m,"1,398.415m",
1003,1+339.97,-5.688m,"1,398.545m",
1004,1+339.84,-6.027m,"1,398.622m",
1005,1+339.97,-6.556m,"1,398.676m",
1006,1+339.95,-7.450m,"1,398.763m",
1007,1+339.97,-8.178m,"1,398.602m",
1008,1+339.93,-12.430m,"1,398.609m",
1009,1+339.65,-16.190m,"1,398.654m",
1010,1+339.65,-22.016m,"1,398.447m",
1011,1+339.61,-24.420m,"1,398.009m",
1012,1+359.18,27.219m,"1,400.006m",
1013,1+359.25,20.902m,"1,399.852m",
1014,1+359.21,18.975m,"1,399.710m",
1015,1+359.79,16.110m,"1,399.879m",
1016,1+359.77,13.763m,"1,400.003m",
1017,1+360.01,10.331m,"1,399.995m",
1018,1+359.92,7.879m,"1,399.995m",
1019,1+360.03,5.927m,"1,400.061m",
1020,1+360.01,3.581m,"1,400.044m",
1021,1+359.95,2.263m,"1,400.164m",
1022,1+359.95,0.017m,"1,399.920m",
1023,1+359.99,0.946m,"1,399.956m",
1024,1+359.98,-5.278m,"1,399.893m",
1025,1+359.91,-5.881m,"1,400.067m",
1026,1+359.94,-7.152m,"1,400.061m",
1027,1+359.96,-7.759m,"1,399.952m",
1028,1+359.94,-9.362m,"1,399.903m",
1029,1+359.92,-10.407m,"1,399.943m",
1030,1+359.81,-11.860m,"1,399.976m",
1031,1+360.03,-13.606m,"1,399.979m",
1032,1+359.95,-15.827m,"1,400.023m",
1033,1+359.70,-18.303m,"1,399.794m",
1034,1+359.59,-19.805m,"1,399.314m",
1035,1+379.28,23.450m,"1,396.666m",
1036,1+379.45,21.184m,"1,400.816m",
1037,1+380.02,15.010m,"1,401.514m",
1038,1+379.54,16.238m,"1,401.350m",
1039,1+379.40,17.449m,"1,400.986m",
1040,1+379.39,19.639m,"1,401.022m",
1041,1+379.93,8.684m,"1,401.422m",
1042,1+379.88,6.760m,"1,401.567m",
1043,1+379.90,5.283m,"1,401.772m",
1044,1+380.06,3.654m,"1,401.742m",
1045,1+380.01,2.485m,"1,401.822m",
1046,1+380.01,1.325m,"1,401.502m",
1047,1+379.91,0.034m,"1,401.421m",
1048,1+379.95,-4.575m,"1,401.325m",
1049,1+379.94,-5.343m,"1,401.622m",
1050,1+380.02,-6.811m,"1,401.427m",
1051,1+379.96,-9.895m,"1,401.362m",
1052,1+380.01,-11.542m,"1,401.334m",
1053,1+379.94,-12.192m,"1,401.296m",
1054,1+380.04,-12.669m,"1,401.400m",
1055,1+380.00,-14.301m,"1,401.385m",
1056,1+380.02,-17.546m,"1,401.377m",
1057,1+379.71,-20.235m,"1,401.233m",
1058,1+379.55,-22.030m,"1,400.634m",
1059,1+378.99,-27.918m,"1,396.889m",
1060,1+400.47,22.560m,"1,397.353m",
1061,1+400.25,21.125m,"1,400.337m",
1062,1+400.11,20.329m,"1,401.394m",
1063,1+400.19,19.567m,"1,402.885m",
1064,1+400.21,16.545m,"1,402.859m",
1065,1+400.04,14.749m,"1,402.818m",
1066,1+399.97,10.830m,"1,402.837m",
1067,1+400.00,4.601m,"1,402.887m",
1068,1+400.03,3.240m,"1,403.149m",
1069,1+399.95,2.672m,"1,402.968m",
1070,1+399.99,1.492m,"1,402.742m",
1071,1+399.97,0.070m,"1,402.707m",
1072,1+399.95,-3.895m,"1,402.599m",
1073,1+399.98,-5.191m,"1,402.932m",
1074,1+400.04,-7.693m,"1,402.604m",
1075,1+400.02,-10.847m,"1,402.591m",
1076,1+399.98,-11.445m,"1,402.539m",
1077,1+400.00,-12.219m,"1,402.572m",
1078,1+399.95,-14.757m,"1,402.632m",
1079,1+399.99,-9.662m,"1,402.564m",
1080,1+399.91,-17.397m,"1,402.627m",
1081,1+415.86,19.294m,"1,403.815m",
1082,1+415.97,14.930m,"1,403.799m",
1083,1+415.96,10.605m,"1,403.737m",
1084,1+415.92,6.304m,"1,403.755m",
1085,1+416.00,4.633m,"1,403.869m",
1086,1+415.94,3.667m,"1,404.001m",
1087,1+415.96,2.247m,"1,403.664m",
1088,1+416.07,0.000m,"1,403.630m",
1089,1+416.10,-2.141m,"1,403.635m",
1090,1+415.94,-3.936m,"1,403.620m",
1091,1+415.84,-4.369m,"1,403.719m",
1092,1+415.72,-6.149m,"1,403.501m",
1093,1+416.16,-7.843m,"1,403.456m",
1094,1+416.09,-10.566m,"1,403.469m",
1095,1+416.11,-14.389m,"1,403.771m",
1096,1+415.87,-16.923m,"1,404.091m",
,,,,
Out of Range: The Point is not adjacent to alignment.,,,,
