Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/6/2024 8:45:25 AM,,,,
,,,,
,,,,
Alignment Name: massir asli d10,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 21+556.62",,,,
,,,,
Point,Station,Offset,Elevation,Description
1,20+900.06,-14.920m,"1,307.202m",
2,20+900.01,-3.263m,"1,307.508m",
3,20+899.92,-0.001m,"1,307.561m",
4,20+900.06,4.585m,"1,308.857m",
5,20+899.84,8.280m,"1,307.421m",
6,20+899.86,14.082m,"1,306.942m",
7,20+899.95,15.245m,"1,306.946m",
8,20+880.08,-14.903m,"1,305.993m",
9,20+879.99,-9.842m,"1,306.246m",
10,20+879.93,0.011m,"1,306.403m",
11,20+880.05,1.598m,"1,306.389m",
12,20+879.98,4.559m,"1,306.421m",
13,20+879.94,7.506m,"1,307.620m",
14,20+879.99,11.569m,"1,306.321m",
15,20+880.01,13.619m,"1,306.025m",
16,20+860.03,-14.974m,"1,304.466m",
17,20+859.98,-13.897m,"1,304.482m",
18,20+859.92,-10.302m,"1,305.045m",
19,20+859.97,-9.464m,"1,305.014m",
20,20+859.90,-6.914m,"1,305.083m",
21,20+859.94,-5.398m,"1,305.162m",
22,20+859.96,0.064m,"1,305.168m",
23,20+859.97,3.097m,"1,305.162m",
24,20+860.03,6.217m,"1,305.251m",
25,20+859.99,10.812m,"1,305.686m",
26,20+860.06,13.549m,"1,305.031m",
27,20+839.90,-14.769m,"1,303.788m",
28,20+840.04,-11.623m,"1,304.041m",
29,20+839.92,-7.172m,"1,303.928m",
30,20+839.95,-3.962m,"1,303.995m",
31,20+839.89,0.045m,"1,304.040m",
32,20+839.96,3.533m,"1,304.083m",
33,20+839.98,5.962m,"1,304.244m",
34,20+840.02,9.877m,"1,305.312m",
35,20+839.95,13.325m,"1,303.978m",
36,20+839.92,14.991m,"1,303.819m",
37,20+819.89,-14.930m,"1,303.002m",
38,20+819.97,-10.067m,"1,303.117m",
39,20+820.01,-6.606m,"1,303.057m",
40,20+819.89,-5.254m,"1,303.023m",
41,20+819.91,-3.645m,"1,303.042m",
42,20+820.02,0.056m,"1,303.002m",
43,20+820.03,3.293m,"1,302.968m",
44,20+820.03,6.251m,"1,302.875m",
45,20+819.95,9.341m,"1,304.101m",
46,20+819.88,12.432m,"1,303.164m",
47,20+819.93,14.975m,"1,302.751m",
48,20+799.96,-15.030m,"1,302.111m",
49,20+799.99,-8.181m,"1,301.947m",
50,20+800.04,-5.113m,"1,301.969m",
51,20+800.00,-3.708m,"1,301.960m",
52,20+800.00,-0.040m,"1,301.876m",
53,20+799.89,3.408m,"1,301.911m",
54,20+800.02,6.004m,"1,302.115m",
55,20+800.04,8.755m,"1,303.370m",
56,20+800.02,12.199m,"1,301.818m",
57,20+800.01,15.063m,"1,301.727m",
58,20+779.93,-14.929m,"1,300.874m",
59,20+780.03,-10.779m,"1,300.777m",
60,20+779.94,-9.083m,"1,300.788m",
61,20+779.95,-6.123m,"1,301.027m",
62,20+779.92,-3.295m,"1,301.059m",
63,20+779.97,0.091m,"1,301.087m",
64,20+779.99,3.418m,"1,301.094m",
65,20+779.99,5.626m,"1,301.151m",
66,20+779.95,8.499m,"1,301.161m",
67,20+779.96,10.782m,"1,301.981m",
68,20+779.99,14.889m,"1,300.646m",
69,20+759.97,-15.000m,"1,299.222m",
70,20+759.92,-12.554m,"1,299.760m",
71,20+760.05,-7.958m,"1,300.105m",
72,20+760.03,-6.915m,"1,300.127m",
73,20+759.99,-4.503m,"1,300.184m",
74,20+759.96,-3.425m,"1,300.203m",
75,20+759.93,0.040m,"1,300.182m",
76,20+759.99,3.549m,"1,300.144m",
77,20+760.02,5.216m,"1,300.146m",
78,20+760.00,9.771m,"1,301.486m",
79,20+759.93,12.943m,"1,299.783m",
80,20+759.98,14.345m,"1,299.788m",
81,20+739.95,-14.770m,"1,298.655m",
82,20+739.86,-12.390m,"1,298.806m",
83,20+740.05,-8.485m,"1,299.023m",
84,20+739.89,-6.158m,"1,299.157m",
85,20+739.93,-5.037m,"1,299.223m",
86,20+739.95,-3.428m,"1,299.273m",
87,20+739.98,0.033m,"1,299.306m",
88,20+739.93,3.498m,"1,299.282m",
89,20+740.01,5.728m,"1,299.332m",
90,20+739.97,9.605m,"1,300.572m",
91,20+739.96,13.279m,"1,299.044m",
92,20+719.81,-8.977m,"1,298.019m",
93,20+719.93,-6.416m,"1,298.195m",
94,20+719.92,-4.601m,"1,298.272m",
95,20+719.89,-3.346m,"1,298.305m",
96,20+719.88,0.135m,"1,298.385m",
97,20+719.89,3.466m,"1,298.376m",
98,20+719.99,5.559m,"1,298.467m",
99,20+719.99,6.994m,"1,298.636m",
100,20+720.01,8.866m,"1,299.452m",
101,20+720.01,11.075m,"1,297.826m",
102,20+720.02,12.495m,"1,297.769m",
103,20+699.97,-5.274m,"1,297.355m",
104,20+700.00,-4.063m,"1,297.395m",
105,20+700.00,-1.811m,"1,297.391m",
106,20+699.97,0.040m,"1,297.393m",
107,20+700.04,2.043m,"1,297.409m",
108,20+700.01,4.059m,"1,297.424m",
109,20+700.00,6.293m,"1,297.424m",
110,20+700.00,7.734m,"1,297.414m",
111,20+679.99,-7.591m,"1,296.273m",
112,20+680.03,-4.548m,"1,296.416m",
113,20+679.98,-3.151m,"1,296.475m",
114,20+679.96,-2.257m,"1,296.444m",
115,20+679.98,0.030m,"1,296.472m",
116,20+679.98,3.348m,"1,296.479m",
117,20+680.00,5.290m,"1,296.480m",
118,20+679.96,7.169m,"1,297.140m",
119,20+679.96,8.865m,"1,296.981m",
120,20+680.03,10.449m,"1,296.504m",
121,20+659.97,-7.710m,"1,295.236m",
122,20+659.98,-5.208m,"1,295.350m",
123,20+659.94,-4.419m,"1,295.414m",
124,20+659.96,-2.600m,"1,295.467m",
125,20+659.96,0.088m,"1,295.435m",
126,20+659.99,3.343m,"1,295.441m",
127,20+659.98,5.591m,"1,295.396m",
128,20+659.94,9.126m,"1,296.448m",
129,20+659.99,11.488m,"1,295.229m",
130,20+660.01,13.040m,"1,295.091m",
131,20+640.01,-12.655m,"1,293.908m",
132,20+639.97,-8.132m,"1,294.276m",
133,20+639.94,-6.541m,"1,294.324m",
134,20+639.97,-4.422m,"1,294.486m",
135,20+639.94,-3.169m,"1,294.492m",
136,20+639.99,0.069m,"1,294.509m",
137,20+639.97,3.265m,"1,294.507m",
138,20+639.94,6.093m,"1,294.457m",
139,20+639.97,9.155m,"1,295.640m",
140,20+639.97,11.702m,"1,294.330m",
141,20+639.97,13.764m,"1,294.246m",
142,20+619.83,-14.911m,"1,293.002m",
143,20+619.90,-11.640m,"1,293.215m",
144,20+620.05,-8.767m,"1,293.380m",
145,20+619.99,-5.956m,"1,293.414m",
146,20+619.94,-3.448m,"1,293.486m",
147,20+619.86,-0.032m,"1,293.535m",
148,20+619.88,3.147m,"1,293.543m",
149,20+620.04,5.486m,"1,293.445m",
150,20+619.96,9.133m,"1,294.703m",
151,20+619.94,11.803m,"1,293.196m",
152,20+600.00,-14.811m,"1,291.921m",
153,20+600.00,-10.901m,"1,292.381m",
154,20+600.01,-6.463m,"1,292.410m",
155,20+600.00,-5.796m,"1,292.449m",
156,20+600.01,-4.134m,"1,292.541m",
157,20+599.96,-3.386m,"1,292.506m",
158,20+600.03,0.004m,"1,292.504m",
159,20+599.99,3.361m,"1,292.460m",
160,20+600.00,4.762m,"1,292.433m",
161,20+599.97,5.702m,"1,292.303m",
162,20+600.00,9.489m,"1,293.228m",
163,20+599.95,9.830m,"1,292.609m",
164,20+600.00,14.872m,"1,292.024m",
165,20+579.97,-14.942m,"1,290.931m",
166,20+579.99,-12.959m,"1,290.932m",
167,20+579.98,-10.076m,"1,291.350m",
168,20+580.00,-7.096m,"1,291.346m",
169,20+579.96,-6.374m,"1,291.342m",
170,20+580.01,-3.474m,"1,291.499m",
171,20+580.00,-2.389m,"1,291.506m",
172,20+580.02,0.012m,"1,291.534m",
173,20+579.99,3.319m,"1,291.467m",
174,20+579.98,5.083m,"1,291.336m",
175,20+579.96,7.538m,"1,291.463m",
176,20+580.00,10.397m,"1,292.112m",
177,20+580.03,15.017m,"1,291.207m",
178,20+560.02,-15.003m,"1,289.891m",
179,20+559.96,-12.644m,"1,290.336m",
180,20+559.98,-8.426m,"1,290.377m",
181,20+560.03,-5.615m,"1,290.417m",
182,20+560.01,-3.605m,"1,290.446m",
183,20+559.97,0.049m,"1,290.496m",
184,20+560.01,3.280m,"1,290.430m",
185,20+559.99,5.290m,"1,290.329m",
186,20+560.04,6.987m,"1,290.544m",
187,20+560.05,10.238m,"1,291.482m",
188,20+559.96,14.753m,"1,290.084m",
189,20+540.07,-15.065m,"1,288.676m",
190,20+540.01,-10.423m,"1,289.309m",
191,20+539.95,-8.996m,"1,289.313m",
192,20+540.01,-6.843m,"1,289.329m",
193,20+540.07,-3.577m,"1,289.407m",
194,20+539.99,3.075m,"1,289.437m",
195,20+540.04,4.954m,"1,289.304m",
196,20+540.07,6.707m,"1,289.501m",
197,20+540.02,9.850m,"1,290.773m",
198,20+540.04,14.909m,"1,289.030m",
199,20+520.01,-15.024m,"1,288.045m",
200,20+520.05,-10.255m,"1,288.241m",
201,20+520.00,-7.737m,"1,288.282m",
202,20+520.03,-6.948m,"1,288.277m",
203,20+519.98,-5.567m,"1,288.310m",
204,20+520.02,-4.088m,"1,288.316m",
205,20+519.98,-3.698m,"1,288.342m",
206,20+519.98,-0.005m,"1,288.450m",
207,20+519.97,2.855m,"1,288.416m",
208,20+519.98,3.875m,"1,288.365m",
209,20+520.02,9.966m,"1,289.581m",
210,20+519.98,14.854m,"1,287.861m",
211,20+519.96,4.877m,"1,288.387m",
212,20+499.99,-14.890m,"1,287.957m",
213,20+500.06,-11.201m,"1,287.293m",
214,20+500.06,-10.017m,"1,287.261m",
215,20+500.02,-7.811m,"1,287.260m",
216,20+500.05,-3.866m,"1,287.356m",
217,20+500.03,0.104m,"1,287.486m",
218,20+500.04,2.936m,"1,287.467m",
219,20+500.04,5.536m,"1,287.404m",
220,20+500.18,10.011m,"1,287.858m",
221,20+500.04,14.403m,"1,287.240m",
222,20+479.96,-12.027m,"1,286.743m",
223,20+480.04,-8.408m,"1,287.261m",
224,20+479.98,-4.900m,"1,287.266m",
225,20+479.99,-4.354m,"1,286.360m",
226,20+479.97,0.044m,"1,286.493m",
227,20+479.99,2.889m,"1,286.518m",
228,20+479.96,5.175m,"1,286.495m",
229,20+479.99,13.508m,"1,286.315m",
230,20+460.00,-14.996m,"1,285.072m",
231,20+459.99,-9.800m,"1,285.302m",
232,20+460.01,-8.885m,"1,285.294m",
233,20+460.03,-5.496m,"1,285.292m",
234,20+459.96,-3.892m,"1,285.335m",
235,20+459.99,0.068m,"1,285.426m",
236,20+459.96,2.736m,"1,285.466m",
237,20+459.87,4.785m,"1,285.377m",
238,20+460.01,6.570m,"1,285.654m",
239,20+459.93,8.983m,"1,286.938m",
240,20+459.95,14.973m,"1,284.862m",
241,20+439.98,-15.109m,"1,284.122m",
242,20+440.06,-11.073m,"1,284.191m",
243,20+440.03,-4.201m,"1,284.433m",
244,20+439.93,0.051m,"1,284.468m",
245,20+440.05,2.646m,"1,284.459m",
246,20+440.02,4.435m,"1,284.418m",
247,20+440.07,6.894m,"1,285.007m",
248,20+440.07,12.627m,"1,284.142m",
249,20+440.06,14.880m,"1,283.967m",
250,20+419.99,-14.938m,"1,283.188m",
251,20+419.99,-11.532m,"1,283.186m",
252,20+420.04,-4.061m,"1,283.349m",
253,20+420.02,0.019m,"1,283.392m",
254,20+420.01,2.719m,"1,283.379m",
255,20+420.01,3.490m,"1,283.298m",
256,20+420.05,4.732m,"1,283.388m",
257,20+420.05,11.358m,"1,283.213m",
258,20+419.97,14.912m,"1,282.968m",
259,20+399.99,-14.946m,"1,281.693m",
260,20+399.98,-6.288m,"1,282.326m",
261,20+399.98,-4.243m,"1,282.365m",
262,20+399.97,0.086m,"1,282.343m",
263,20+399.99,2.679m,"1,282.310m",
264,20+400.00,3.464m,"1,282.248m",
265,20+400.03,4.523m,"1,283.095m",
266,20+400.04,5.819m,"1,282.975m",
267,20+399.96,11.630m,"1,282.377m",
268,20+400.06,14.877m,"1,282.049m",
269,20+380.02,-14.955m,"1,280.494m",
270,20+380.03,-6.353m,"1,281.226m",
271,20+379.90,-4.375m,"1,281.292m",
272,20+380.04,0.058m,"1,281.351m",
273,20+380.00,2.451m,"1,281.320m",
274,20+380.02,4.350m,"1,281.352m",
275,20+380.05,5.080m,"1,281.521m",
276,20+380.04,15.034m,"1,281.040m",
277,20+360.01,-15.019m,"1,279.413m",
278,20+359.99,-6.198m,"1,280.295m",
279,20+360.01,-5.893m,"1,280.325m",
280,20+360.02,-4.311m,"1,280.373m",
281,20+359.99,0.005m,"1,280.388m",
282,20+359.98,2.428m,"1,280.385m",
283,20+360.05,4.088m,"1,280.389m",
284,20+360.01,4.766m,"1,280.350m",
285,20+360.04,10.311m,"1,281.548m",
286,20+360.05,14.952m,"1,280.266m",
287,20+340.01,-14.996m,"1,278.700m",
288,20+339.97,-9.706m,"1,278.634m",
289,20+339.99,-6.057m,"1,279.366m",
290,20+340.02,-5.009m,"1,279.423m",
291,20+340.01,-4.419m,"1,279.455m",
292,20+340.03,0.035m,"1,279.498m",
293,20+339.96,2.380m,"1,279.467m",
294,20+340.09,4.172m,"1,279.455m",
295,20+339.99,4.779m,"1,279.436m",
296,20+340.02,7.581m,"1,280.793m",
297,20+340.02,15.010m,"1,279.208m",
298,20+319.97,-14.965m,"1,277.988m",
299,20+320.03,-7.724m,"1,278.216m",
300,20+320.00,-4.868m,"1,278.524m",
301,20+320.04,0.023m,"1,278.550m",
302,20+319.98,2.325m,"1,278.489m",
303,20+319.93,4.109m,"1,278.492m",
304,20+319.96,6.910m,"1,279.487m",
305,20+319.99,13.261m,"1,278.251m",
306,20+320.01,15.042m,"1,278.247m",
307,20+300.02,-14.964m,"1,276.995m",
308,20+299.95,-8.368m,"1,277.137m",
309,20+300.03,-6.782m,"1,277.492m",
310,20+299.93,-5.847m,"1,277.538m",
311,20+299.98,-4.661m,"1,277.604m",
312,20+300.01,-0.006m,"1,277.601m",
313,20+300.01,2.094m,"1,277.587m",
314,20+300.00,4.062m,"1,277.485m",
315,20+299.95,4.483m,"1,277.481m",
316,20+299.93,8.289m,"1,278.569m",
317,20+300.03,14.513m,"1,277.284m",
318,20+280.00,-14.817m,"1,275.957m",
319,20+280.05,-10.289m,"1,276.030m",
320,20+280.01,-7.895m,"1,276.501m",
321,20+280.03,-4.882m,"1,276.639m",
322,20+279.96,-0.003m,"1,276.647m",
323,20+279.99,1.841m,"1,276.626m",
324,20+279.99,3.886m,"1,276.920m",
325,20+280.03,5.072m,"1,276.588m",
326,20+280.03,14.935m,"1,276.725m",
327,20+259.99,-14.963m,"1,274.951m",
328,20+259.95,-9.684m,"1,275.272m",
329,20+260.01,-5.576m,"1,275.560m",
330,20+259.99,-5.009m,"1,275.619m",
331,20+260.00,0.017m,"1,275.631m",
332,20+260.00,1.655m,"1,275.634m",
333,20+260.02,3.194m,"1,275.726m",
334,20+259.99,4.280m,"1,275.735m",
335,20+240.00,-12.275m,"1,276.756m",
336,20+240.02,-10.114m,"1,276.712m",
337,20+240.00,-9.924m,"1,274.515m",
338,20+240.00,-9.536m,"1,274.425m",
339,20+240.00,-5.286m,"1,274.616m",
340,20+240.00,0.031m,"1,274.653m",
341,20+240.00,1.435m,"1,274.643m",
342,20+240.01,1.847m,"1,274.668m",
343,20+240.00,3.913m,"1,274.642m",
344,20+239.97,15.064m,"1,274.290m",
345,20+220.00,-15.039m,"1,273.026m",
346,20+220.08,-8.430m,"1,273.428m",
347,20+220.01,-5.949m,"1,273.662m",
348,20+219.98,-5.557m,"1,273.713m",
349,20+220.00,-0.011m,"1,273.675m",
350,20+220.00,-2.352m,"1,273.736m",
351,20+239.99,-1.868m,"1,274.695m",
352,20+220.00,0.558m,"1,273.672m",
353,20+220.03,1.733m,"1,273.664m",
354,20+220.01,2.777m,"1,273.684m",
355,20+219.99,3.898m,"1,273.772m",
356,20+219.99,6.176m,"1,274.471m",
357,20+220.01,11.206m,"1,273.150m",
358,20+219.97,14.828m,"1,274.062m",
359,20+200.01,-14.942m,"1,271.908m",
360,20+200.00,-11.596m,"1,271.911m",
361,20+199.98,-9.651m,"1,272.096m",
362,20+200.01,-7.394m,"1,272.683m",
363,20+200.00,-6.137m,"1,272.740m",
364,20+200.00,-5.917m,"1,272.773m",
365,20+200.00,0.004m,"1,272.742m",
366,20+200.01,0.879m,"1,272.736m",
367,20+200.00,3.815m,"1,272.617m",
368,20+200.00,6.626m,"1,273.673m",
369,20+200.00,4.086m,"1,272.554m",
370,20+200.01,9.214m,"1,271.991m",
371,20+200.01,12.148m,"1,272.085m",
372,20+200.04,14.923m,"1,272.136m",
373,20+179.96,-14.987m,"1,270.671m",
374,20+180.03,-13.855m,"1,270.979m",
375,20+179.99,-13.321m,"1,270.971m",
376,20+179.97,-12.760m,"1,270.903m",
377,20+179.98,-12.329m,"1,270.850m",
378,20+179.95,-11.179m,"1,270.896m",
379,20+179.98,-10.318m,"1,270.994m",
380,20+179.99,-8.091m,"1,271.624m",
381,20+180.00,-7.473m,"1,271.713m",
382,20+180.00,-6.231m,"1,271.801m",
383,20+180.02,-2.679m,"1,271.872m",
384,20+179.99,0.015m,"1,271.850m",
385,20+180.00,0.626m,"1,271.834m",
386,20+180.02,2.105m,"1,271.806m",
387,20+179.96,3.459m,"1,271.829m",
388,20+179.94,4.968m,"1,271.804m",
389,20+179.98,7.324m,"1,272.797m",
390,20+179.98,9.738m,"1,271.288m",
391,20+179.96,10.630m,"1,271.203m",
392,20+180.00,12.108m,"1,271.052m",
393,20+180.01,14.810m,"1,270.926m",
394,20+160.03,-14.989m,"1,269.721m",
395,20+159.99,-13.107m,"1,269.983m",
396,20+160.01,-12.468m,"1,269.943m",
397,20+160.02,-8.103m,"1,270.818m",
398,20+159.97,-7.608m,"1,270.840m",
399,20+159.97,-6.495m,"1,270.887m",
400,20+159.97,-3.188m,"1,270.971m",
401,20+159.97,0.063m,"1,270.949m",
402,20+159.99,0.613m,"1,270.878m",
403,20+160.00,0.938m,"1,270.914m",
404,20+159.92,4.106m,"1,270.777m",
405,20+160.01,5.554m,"1,271.225m",
406,20+160.00,7.207m,"1,271.807m",
407,20+159.97,9.896m,"1,270.432m",
408,20+160.02,10.785m,"1,269.974m",
409,20+160.04,14.908m,"1,269.843m",
410,20+140.06,-14.860m,"1,268.997m",
411,20+139.94,-9.238m,"1,269.641m",
412,20+139.96,-8.775m,"1,269.748m",
413,20+140.04,-7.756m,"1,269.839m",
414,20+139.91,-6.916m,"1,269.827m",
415,20+139.98,-6.653m,"1,269.876m",
416,20+140.01,-3.384m,"1,269.947m",
417,20+140.02,-1.005m,"1,269.925m",
418,20+139.99,0.046m,"1,269.920m",
419,20+139.98,0.320m,"1,269.926m",
