player_id,arrived_time,departed_time,wait_time
1,21,1,33
2,2,1,4
3,14,2,27
4,6,5,13
5,13,7,35
6,16,7,10
7,1,8,33
8,22,8,19
9,15,10,23
10,23,10,11
11,16,11,8
12,18,13,52
13,12,13,20
14,11,15,0
15,6,15,21
16,7,17,20
17,1,17,19
18,8,18,15
19,23,18,0
20,20,19,32
21,11,20,0
22,13,20,0
23,23,22,22
24,22,23,4
25,17,24,0
26,8,25,34
27,4,26,18
28,14,27,0
29,3,27,19
30,22,28,0
31,16,30,11
32,9,32,33
33,7,33,35
34,2,34,74
35,8,36,0
36,3,36,0
37,24,37,20
38,4,37,0
39,8,37,12
40,3,37,27
41,7,38,33
42,1,38,0
43,21,40,17
44,15,41,26
45,21,41,26
46,8,43,18
47,17,44,0
48,13,44,0
49,19,44,0
50,9,45,7
51,7,46,49
52,1,46,10
53,1,46,32
54,3,47,21
55,2,50,0
56,20,50,0
57,15,51,0
58,14,53,0
59,17,54,18
60,23,54,13
61,18,55,29
62,17,56,0
63,4,57,11
64,3,57,16
65,13,57,0
66,12,58,21
67,11,58,0
68,18,58,0
69,17,60,68
70,4,63,3
71,20,63,38
72,13,65,29
73,2,66,31
74,14,66,20
75,24,66,0
76,15,68,3
77,24,68,20
78,9,68,0
79,4,69,29
80,3,70,6
81,10,70,25
82,7,70,32
83,16,73,0
84,5,73,14
85,7,75,0
86,9,75,18
87,7,76,0
88,6,78,26
89,8,79,30
90,7,80,33
91,13,82,28
92,19,82,30
93,16,83,0
94,10,84,18
95,16,86,22
96,1,86,32
97,24,86,87
98,15,86,0
99,9,87,0
100,19,88,16
101,18,89,16
102,8,89,0
103,2,94,0
104,1,95,22
105,18,97,2
106,21,98,22
107,3,98,0
108,23,98,0
109,19,99,3
110,4,99,0
111,8,99,0
112,19,101,5
113,13,101,22
114,2,102,30
115,14,103,26
116,5,103,20
117,5,105,32
118,21,106,0
119,14,107,0
120,22,108,33
121,6,109,14
122,11,110,35
123,21,114,0
124,5,114,45
125,5,114,25
126,11,116,4
127,10,117,24
128,20,117,30
129,11,118,31
130,24,121,0
131,15,121,39
132,8,123,0
133,21,123,0
134,4,123,34
135,3,127,0
136,15,129,27
137,21,131,26
138,22,132,0
139,5,132,63
140,12,134,0
141,24,136,18
142,2,136,15
143,16,137,0
144,14,137,39
145,20,138,8
146,15,139,0
147,5,139,29
148,19,139,63
149,2,140,33
150,9,140,63
151,15,141,0
152,5,142,32
153,4,142,19
154,11,142,2
155,13,143,24
156,11,144,0
157,5,145,0
158,22,145,0
159,9,145,0
160,2,148,31
161,10,150,26
162,2,150,19
163,21,151,0
164,4,154,0
165,12,154,10
166,4,154,2
167,22,154,29
168,2,155,27
169,3,155,0
170,12,156,17
171,15,157,0
172,12,157,29
173,22,162,7
174,18,164,22
175,1,164,0
176,17,166,0
177,16,167,29
178,16,168,32
179,4,168,0
180,7,168,0
181,18,168,0
182,9,170,43
183,1,170,0
184,22,171,30
185,23,171,4
186,15,172,21
187,9,172,42
188,5,173,17
189,16,173,30
190,1,173,34
191,23,176,0
192,23,176,22
193,7,176,21
194,22,180,20
195,6,180,25
196,21,181,9
197,16,181,15
198,12,182,27
199,23,186,0
200,3,187,0
201,23,190,0
202,21,190,0
203,9,190,0
204,9,191,0
205,19,191,17
206,18,191,31
207,15,192,34
208,17,195,0
209,4,197,29
210,10,198,21
211,12,199,10
212,16,202,30
213,5,203,62
214,12,204,60
215,15,205,0
216,8,206,14
217,1,206,9
218,6,207,32
219,1,210,21
220,6,210,16
221,14,210,0
222,8,211,30
223,24,212,39
224,7,212,6
225,7,213,31
226,5,215,31
227,24,215,0
228,5,217,15
229,9,218,22
230,4,219,9
