lane_from,lane_to,total_vehicles,total_delay,avg_delay_per_vehicle,max_queue_length,mean_queue_length
10.0,16.0,128,7560.0,59.0625,16,4.293015332197615
8.0,9.0,61,2049.5,33.59836065573771,5,1.1641113003975014
16.0,10.0,109,9474.0,86.91743119266054,18,5.174767886400874
9.0,8.0,55,2704.5,49.17272727272727,8,1.4535196131112305
11.0,10.0,63,4790.0,76.03174603174604,12,2.712344280860702
10.0,15.0,58,2694.5,46.456896551724135,7,1.488128106018774
11.0,4.0,62,1499.0,24.177419354838708,4,0.8493771234428086
16.0,8.0,63,3484.5,55.30952380952381,8,1.9190528634361232
8.0,16.0,63,3474.5,55.15079365079365,7,1.8672756582482537
4.0,11.0,53,2849.5,53.764150943396224,7,1.6276413478012564
15.0,10.0,51,3154.5,61.85294117647059,9,1.8121769098219414
20.0,21.0,56,1604.5,28.651785714285715,6,0.893652561247216
10.0,11.0,60,3264.5,54.40833333333333,9,1.7130115424973766
1.0,2.0,55,704.5,12.809090909090909,4,0.40378006872852235
3.0,12.0,73,2464.5,33.76027397260274,7,1.3879504504504505
21.0,20.0,49,2224.5,45.39795918367347,5,1.319691577698695
22.0,20.0,55,2979.5,54.17272727272727,7,1.7265353418308227
14.0,15.0,54,3069.5,56.842592592592595,7,1.6022964509394573
11.0,12.0,49,1550.0,31.632653061224488,5,0.8980301274623407
17.0,16.0,109,5209.5,47.793577981651374,12,2.9335585585585586
18.0,20.0,59,3459.5,58.63559322033898,9,1.8153200419727178
22.0,15.0,73,4054.5,55.54109589041096,10,2.1789360558839332
16.0,17.0,102,4130.0,40.490196078431374,12,2.0435428005937655
20.0,22.0,45,2504.5,55.65555555555556,6,1.4640561075394507
2.0,6.0,48,1540.0,32.083333333333336,5,0.947109471094711
9.0,5.0,47,1619.5,34.45744680851064,5,0.9872029250457038
15.0,14.0,48,1364.5,28.427083333333332,5,0.7664233576642335
5.0,9.0,48,1319.5,27.489583333333332,4,0.7783018867924528
12.0,11.0,37,2049.0,55.37837837837838,4,1.1575381140598533
5.0,6.0,55,2119.0,38.527272727272724,7,1.1578372474057892
2.0,1.0,41,464.5,11.329268292682928,4,0.27019174898314935
14.0,23.0,55,1744.5,31.71818181818182,6,1.0258671369782482
3.0,4.0,54,1739.5,32.21296296296296,6,0.9742441209406495
12.0,3.0,53,1699.5,32.06603773584906,7,0.9877977919814062
6.0,5.0,53,1654.0,31.20754716981132,6,0.990424895272292
1.0,3.0,53,1414.5,26.68867924528302,5,0.7944974733295901
11.0,14.0,53,1405.0,26.50943396226415,5,0.8116695551704217
23.0,22.0,46,2674.5,58.141304347826086,7,1.4373992477162816
6.0,2.0,45,500.0,11.11111111111111,3,0.2799552071668533
14.0,11.0,47,2294.5,48.819148936170215,5,1.2233475479744136
23.0,14.0,49,1794.0,36.61224489795919,6,0.9750135795763172
20.0,19.0,49,1700.0,34.69387755102041,5,0.9599096555618295
13.0,24.0,49,1619.5,33.05102040816327,5,0.9121621621621622
19.0,20.0,46,2180.0,47.391304347826086,7,1.2206047032474805
3.0,1.0,52,699.5,13.451923076923077,3,0.4227053140096618
20.0,18.0,48,1389.5,28.947916666666668,4,0.826888756692445
10.0,9.0,60,1924.5,32.075,5,1.0900339750849377
22.0,23.0,45,1649.5,36.65555555555556,4,0.9136212624584718
4.0,3.0,45,1505.0,33.44444444444444,6,0.9227467811158798
9.0,10.0,47,3169.5,67.43617021276596,7,1.7265795206971677
24.0,13.0,48,550.0,11.458333333333334,3,0.3096846846846847
21.0,24.0,57,1620.0,28.42105263157895,6,0.861244019138756
24.0,21.0,55,1704.5,30.990909090909092,5,0.9519821328866555
7.0,8.0,47,2790.0,59.361702127659576,6,1.570945945945946
16.0,18.0,54,1405.0,26.01851851851852,6,0.8163858221963974
18.0,16.0,45,2609.5,57.98888888888889,7,1.3622129436325678
15.0,22.0,46,2050.0,44.56521739130435,6,1.1510387422796182
13.0,12.0,49,1609.5,32.8469387755102,5,0.9090909090909091
4.0,5.0,65,2530.0,38.92307692307692,9,1.3558413719185423
15.0,19.0,50,1444.5,28.89,5,0.8205565019875071
19.0,15.0,45,2134.5,47.43333333333333,5,1.1350345560871877
8.0,7.0,54,790.0,14.62962962962963,4,0.4398663697104677
6.0,8.0,57,2785.0,48.85964912280702,9,1.572557876905703
7.0,18.0,64,2039.0,31.859375,5,1.1751152073732718
12.0,13.0,50,590.0,11.8,4,0.3303471444568869
8.0,6.0,61,1969.5,32.28688524590164,7,1.131533601378518
19.0,17.0,53,1824.5,34.424528301886795,7,0.9967231021299836
5.0,4.0,53,1419.5,26.78301886792453,8,0.8018068887634106
21.0,22.0,43,2014.5,46.848837209302324,5,1.1674391657010428
18.0,7.0,59,480.0,8.135593220338983,3,0.272572402044293
24.0,23.0,47,1610.0,34.255319148936174,5,0.9221076746849943
22.0,21.0,46,1559.5,33.90217391304348,4,0.8759124087591241
17.0,19.0,45,1559.5,34.65555555555556,4,0.8759124087591241
23.0,24.0,44,1114.5,25.329545454545453,6,0.6733091787439613
