player_id,arrived_time,departed_time,wait_time
38,37,140,1
108,98,195,0
143,137,235,0
80,70,270,0
36,36,275,8
164,154,275,5
180,168,275,2
11,11,275,4
176,166,275,2
28,27,275,0
75,66,275,12
130,121,275,1
151,141,290,0
111,99,320,25
99,87,320,17
19,18,320,11
88,78,325,0
62,56,325,5
106,98,345,0
175,164,365,1
179,168,365,0
14,15,365,20
20,19,365,11
138,132,380,0
201,190,390,0
135,127,410,17
200,187,410,5
22,20,410,9
25,24,410,10
101,89,410,15
76,68,410,20
236,227,410,17
227,215,410,9
45,41,415,26
120,108,415,13
98,86,420,18
9,10,420,14
6,7,425,15
93,83,425,0
321,317,455,8
274,264,455,9
146,139,455,14
181,168,455,18
232,221,455,7
4,5,465,22
121,109,465,2
18,18,480,23
39,37,480,19
132,123,480,2
183,170,500,6
156,144,500,12
159,145,500,2
171,157,500,9
49,44,500,32
123,114,500,18
163,151,500,10
202,190,500,2
216,206,510,1
235,226,525,0
350,337,535,0
315,313,545,7
42,38,545,22
270,262,545,7
323,319,545,6
157,145,545,20
70,63,545,18
342,329,545,14
26,25,545,14
16,17,545,16
453,432,545,3
94,84,545,33
12,13,545,8
83,73,545,26
260,253,545,19
74,66,545,16
244,231,545,13
109,99,545,22
112,101,545,1
145,138,545,23
392,379,545,4
249,238,550,14
265,259,550,10
477,459,555,0
310,308,555,1
78,68,565,0
30,28,565,19
24,23,565,1
490,470,570,0
308,306,590,17
169,155,590,17
21,20,590,24
67,58,590,17
113,101,590,8
125,114,590,16
35,36,590,11
15,15,590,25
386,374,590,4
506,485,590,1
118,106,590,28
137,131,590,23
196,181,590,13
221,210,590,17
58,53,590,10
276,271,595,16
68,58,610,11
105,97,610,3
140,134,630,0
107,98,635,8
117,105,635,7
203,190,635,20
522,497,635,8
275,270,635,24
197,181,635,21
46,43,635,29
100,88,635,11
347,334,635,21
57,51,635,38
355,341,635,9
87,76,645,24
588,557,655,0
224,212,660,20
264,259,660,11
429,414,660,0
481,461,660,0
328,322,670,0
55,50,675,16
299,289,680,19
333,323,680,12
64,57,680,15
126,116,680,33
72,65,680,14
91,82,680,11
209,197,680,18
79,69,680,14
85,75,680,23
56,50,680,38
243,230,680,31
543,521,680,12
289,283,680,20
261,254,680,16
115,103,680,17
3,2,680,18
158,145,680,18
536,515,680,3
507,486,685,0
110,99,690,19
23,22,695,36
122,110,710,1
604,572,720,0
665,623,720,0
103,94,725,7
258,251,725,25
348,334,725,9
431,416,725,2
450,432,725,9
464,446,725,26
89,79,725,40
428,413,725,13
86,75,725,32
305,301,725,6
469,452,725,5
245,232,725,10
537,517,725,2
215,205,725,15
534,512,725,13
344,331,725,19
346,332,730,1
504,483,730,0
231,221,745,16
65,57,745,9
43,40,745,13
173,162,745,9
528,505,755,0
253,242,755,14
596,563,760,0
659,613,760,0
601,569,765,0
661,615,765,0
230,219,770,32
271,262,770,23
524,501,770,14
545,523,770,10
84,73,770,11
643,600,770,4
204,191,770,8
547,525,770,9
621,585,770,17
81,70,770,60
161,150,770,44
351,337,770,27
95,86,770,18
131,121,770,33
489,469,770,12
167,154,770,36
689,644,770,6
286,281,780,0
255,244,785,10
485,464,785,5
404,390,790,0
279,273,795,6
124,114,815,31
188,173,815,19
147,139,815,6
152,142,815,5
415,399,815,24
54,47,815,35
492,470,815,9
27,26,815,29
166,154,815,24
412,396,815,5
165,154,815,33
439,423,815,9
578,546,815,4
440,424,815,29
454,435,815,26
272,263,815,32
358,343,815,16
387,375,815,9
296,288,815,17
238,227,815,19
472,455,815,12
263,257,815,23
133,123,815,31
562,537,815,16
199,186,815,36
162,150,840,18
382,366,840,15
144,137,840,23
160,148,845,0
367,352,845,0
697,650,850,0
676,632,860,26
102,89,860,27
448,430,860,26
520,493,860,14
343,330,860,26
385,373,860,28
29,27,860,37
40,37,860,35
409,395,860,3
762,712,860,0
218,207,860,21
389,377,860,28
71,63,860,50
285,280,860,27
455,435,860,15
174,164,860,11
675,630,860,6
745,699,865,14
53,46,870,5
150,140,875,27
783,733,880,0
538,517,880,3
208,195,880,38
468,452,880,7
682,638,885,0
280,273,895,6
313,309,895,18
703,656,900,0
690,644,905,13
96,86,905,14
104,95,905,12
672,628,905,16
457,441,905,13
699,652,905,1
438,422,905,17
50,45,905,25
369,352,905,21
309,308,905,1
717,668,905,18
669,627,905,6
688,644,905,3
129,118,905,49
390,377,905,17
327,322,905,38
365,349,905,33
458,441,905,24
92,82,905,46
377,360,905,30
497,475,905,7
737,692,905,3
558,533,905,5
267,260,910,0
603,571,915,0
441,424,915,29
52,46,925,26
727,676,925,0
184,171,940,17
284,280,950,24
311,309,950,19
566,538,950,23
766,714,950,8
554,530,950,24
48,44,950,14
262,255,950,30
654,608,950,10
214,204,950,1
877,800,950,0
127,117,950,28
829,768,950,17
205,191,950,44
354,340,950,25
60,54,950,62
191,176,950,56
396,381,950,24
487,466,950,7
10,10,950,11
185,171,950,8
242,230,950,56
866,793,950,12
239,228,955,6
806,755,955,0
59,54,955,34
69,60,955,32
619,585,955,5
755,706,955,0
324,319,955,30
638,594,955,24
375,360,955,11
809,756,955,0
366,349,960,26
141,136,960,57
37,37,960,39
582,550,960,4
584,552,960,4
711,665,965,0
322,319,965,0
195,180,965,19
212,202,965,34
549,527,970,0
838,774,970,0
500,477,975,0
177,167,980,15
189,173,980,14
797,747,990,0
2,1,995,39
546,524,995,25
250,238,995,12
252,242,995,12
949,863,995,7
51,46,995,42
425,410,995,8
788,740,995,21
808,756,995,18
312,309,995,50
542,520,995,15
229,218,995,36
254,243,995,31
32,32,995,84
316,313,995,39
424,410,995,28
381,365,995,17
298,288,995,23
785,736,995,12
844,776,995,14
975,890,995,1
936,856,995,8
687,644,995,11
136,129,995,56
207,192,995,43
571,540,995,22
456,438,995,12
394,380,1000,26
586,554,1005,21
768,715,1005,8
318,314,1010,0
511,488,1010,16
570,539,1025,9
17,17,1040,25
776,723,1040,14
780,728,1040,13
820,761,1040,16
211,199,1040,30
606,573,1040,15
413,398,1040,29
198,182,1040,33
417,402,1040,0
228,217,1040,36
116,103,1040,19
154,142,1040,42
556,531,1040,22
41,38,1040,44
82,70,1040,37
362,345,1040,31
193,176,1040,26
418,403,1040,20
225,213,1040,9
268,260,1040,28
287,282,1040,24
61,55,1040,31
433,417,1040,18
405,392,1040,41
732,686,1040,11
965,880,1040,2
8,8,1040,29
871,799,1040,9
77,68,1040,27
237,227,1050,36
447,430,1050,15
811,757,1055,0
583,552,1055,21
153,142,1060,34
630,592,1060,14
633,592,1060,5
658,612,1065,12
329,322,1065,11
673,630,1085,1
142,136,1085,21
226,215,1085,24
461,443,1085,39
339,327,1085,42
430,415,1085,35
660,615,1085,15
799,748,1085,9
134,123,1085,24
300,291,1085,10
657,612,1085,5
172,157,1085,47
419,404,1085,39
617,583,1085,22
33,33,1085,72
90,80,1085,62
508,486,1085,30
317,314,1085,36
648,602,1085,27
712,666,1085,14
47,44,1085,41
293,287,1085,41
357,343,1085,31
662,617,1085,25
1023,928,1085,12
1025,930,1085,11
590,559,1085,38
148,139,1085,34
44,41,1085,22
803,751,1085,7
807,755,1085,26
674,630,1085,22
787,738,1085,11
337,325,1085,53
653,607,1085,7
573,540,1095,11
452,432,1100,15
220,210,1100,10
777,724,1100,26
678,634,1100,24
835,772,1100,16
416,402,1100,21
281,273,1100,39
887,809,1105,0
624,587,1105,14
233,221,1105,21
553,530,1105,7
403,388,1105,7
73,66,1110,49
34,34,1110,7
495,472,1110,19
810,757,1110,1
823,764,1110,0
525,501,1115,23
66,58,1115,33
1016,924,1120,0
340,328,1130,21
924,846,1130,17
319,317,1130,23
792,743,1130,9
63,57,1130,36
368,352,1130,16
371,356,1130,25
139,132,1130,30
517,491,1130,18
592,561,1130,4
426,411,1130,34
303,294,1130,29
360,344,1130,19
849,780,1130,0
182,170,1130,24
187,172,1130,24
1042,943,1130,8
474,458,1130,15
921,842,1130,18
436,422,1130,23
509,487,1130,10
518,491,1130,30
600,568,1130,15
999,911,1130,14
774,721,1130,13
798,748,1130,27
983,898,1130,7
992,907,1130,5
186,172,1130,56
957,871,1130,3
314,311,1130,36
559,533,1130,32
636,594,1130,20
914,835,1135,0
840,774,1135,14
192,176,1135,26
374,360,1135,56
393,379,1135,53
463,445,1135,20
906,826,1135,13
707,659,1150,0
990,906,1155,0
292,286,1155,17
685,640,1160,14
598,567,1175,13
984,898,1175,6
353,339,1175,18
714,667,1175,23
384,368,1175,23
400,384,1175,20
498,475,1175,20
775,722,1175,11
684,640,1175,17
1055,957,1175,4
306,304,1175,48
206,191,1175,21
1181,1070,1175,1
650,604,1175,25
398,384,1175,20
465,448,1175,7
752,706,1175,4
486,466,1175,32
897,818,1175,12
639,595,1175,27
642,599,1175,36
702,656,1175,25
259,251,1175,27
1058,959,1175,4
778,725,1175,20
297,288,1175,10
607,573,1175,3
930,849,1175,26
605,573,1175,32
1,1,1175,20
916,835,1180,0
388,376,1195,35
875,799,1195,0
595,563,1200,38
719,673,1210,18
701,655,1215,3
257,250,1215,24
320,317,1215,11
627,589,1220,17
952,866,1220,11
694,648,1220,25
815,760,1220,13
514,490,1220,28
222,211,1220,14
399,384,1220,30
427,411,1220,24
5,7,1220,55
548,526,1220,30
420,408,1220,34
751,705,1220,13
269,262,1220,43
13,13,1220,64
581,550,1220,24
341,329,1220,40
442,425,1220,20
471,455,1220,14
635,593,1220,37
919,839,1220,27
304,299,1220,67
31,30,1220,61
349,335,1220,49
451,432,1220,40
178,168,1220,34
960,872,1220,10
572,540,1220,48
1151,1044,1220,6
283,279,1220,42
668,624,1220,21
801,749,1220,16
784,734,1220,9
376,360,1220,64
496,475,1220,51
564,537,1220,29
723,675,1220,20
391,378,1220,41
223,212,1220,26
1020,927,1225,0
757,709,1230,5
1008,919,1230,14
