Period [sec],Acceleration
0,0.12165
0.02,0.12214
0.04,0.12617
0.06,0.12396
0.08,0.15586
0.1,0.18488
0.12,0.21499
0.14,0.22567
0.16,0.20097
0.18,0.26009
0.2,0.21655
0.22,0.25281
0.24,0.25909
0.26,0.24016
0.28,0.19391
0.3,0.24332
0.32,0.31462
0.34,0.33407
0.36,0.29237
0.38,0.26521
0.4,0.2601
0.42,0.25052
0.44,0.21397
0.46,0.19338
0.48,0.19742
0.5,0.17619
0.52,0.17506
0.54,0.16711
0.56,0.17335
0.58,0.19805
0.6,0.21322
0.62,0.21729
0.64,0.22297
0.66,0.22693
0.68,0.20957
0.7,0.18091
0.72,0.15376
0.74,0.13561
0.76,0.13573
0.78,0.13564
0.8,0.13242
0.82,0.12538
0.84,0.12329
0.86,0.12203
0.88,0.12526
0.9,0.12105
0.92,0.11447
0.94,0.11062
0.96,0.10544
0.98,0.09882
1,0.09129
1.02,0.08367
1.04,0.07356
1.06,0.06476
1.08,0.06321
1.1,0.06129
1.12,0.05848
1.14,0.05527
1.16,0.05213
1.18,0.04871
1.2,0.04543
1.22,0.04251
1.24,0.04013
1.26,0.03838
1.28,0.03733
1.3,0.03688
1.32,0.03683
1.34,0.03691
1.36,0.03683
1.38,0.03643
1.4,0.03563
1.42,0.03441
1.44,0.03283
1.46,0.03285
1.48,0.03282
1.5,0.03259
1.52,0.0322
1.54,0.03169
1.56,0.03113
1.58,0.03049
1.6,0.02965
1.62,0.02855
1.64,0.02716
1.66,0.02621
1.68,0.02553
1.7,0.02462
1.72,0.02354
1.74,0.02248
1.76,0.02147
1.78,0.02037
1.8,0.01921
1.82,0.01816
1.84,0.01761
1.86,0.017
1.88,0.01633
1.9,0.01562
1.92,0.01487
1.94,0.01408
1.96,0.01337
1.98,0.0133
2,0.01338
2.02,0.01357
2.04,0.01386
2.06,0.01422
2.08,0.01462
2.1,0.01503
2.12,0.01543
2.14,0.01579
2.16,0.01611
2.18,0.01638
2.2,0.01658
2.22,0.01671
2.24,0.0168
2.26,0.01696
2.28,0.01707
2.3,0.01712
2.32,0.01712
2.34,0.01707
2.36,0.01698
2.38,0.01684
2.4,0.01666
2.42,0.01646
2.44,0.01623
2.46,0.01598
2.48,0.01571
2.5,0.01543
2.52,0.01515
2.54,0.01486
2.56,0.01457
2.58,0.01428
2.6,0.014
2.62,0.01372
2.64,0.01345
2.66,0.01319
2.68,0.01294
2.7,0.0127
2.72,0.01247
2.74,0.01225
2.76,0.01204
2.78,0.01184
2.8,0.01166
2.82,0.0115
2.84,0.01136
2.86,0.01122
2.88,0.01108
2.9,0.01096
2.92,0.01083
2.94,0.01071
2.96,0.01059
2.98,0.01048
3,0.01037
3.02,0.01026
3.04,0.01015
3.06,0.01004
3.08,0.00993
3.1,0.00985
3.12,0.00983
3.14,0.00989
3.16,0.00995
3.18,0.00999
3.2,0.01002
3.22,0.01003
3.24,0.01004
3.26,0.01004
3.28,0.01003
3.3,0.01
3.32,0.00997
3.34,0.00993
3.36,0.00989
3.38,0.00987
3.4,0.00984
3.42,0.00981
3.44,0.00976
3.46,0.0097
3.48,0.00963
3.5,0.00955
3.52,0.00946
3.54,0.00936
3.56,0.00926
3.58,0.00914
3.6,0.00902
3.62,0.00889
3.64,0.00875
3.66,0.00861
3.68,0.00846
3.7,0.0083
3.72,0.00815
3.74,0.00798
3.76,0.00782
3.78,0.00767
3.8,0.00757
3.82,0.00747
3.84,0.00736
3.86,0.00726
3.88,0.00715
3.9,0.00704
3.92,0.00693
3.94,0.00682
3.96,0.00671
3.98,0.0066
4,0.00649
