Period [sec],Acceleration
0,0.21074
0.02,0.21082
0.04,0.21272
0.06,0.21505
0.08,0.24568
0.1,0.31183
0.12,0.3189
0.14,0.35919
0.16,0.44859
0.18,0.47344
0.2,0.51599
0.22,0.5862
0.24,0.48069
0.26,0.49491
0.28,0.42224
0.3,0.43458
0.32,0.45646
0.34,0.39857
0.36,0.4493
0.38,0.48694
0.4,0.57434
0.42,0.50771
0.44,0.49367
0.46,0.49365
0.48,0.48285
0.5,0.52085
0.52,0.5457
0.54,0.55128
0.56,0.56689
0.58,0.59042
0.6,0.57321
0.62,0.51899
0.64,0.46838
0.66,0.43499
0.68,0.41067
0.7,0.43267
0.72,0.44703
0.74,0.43953
0.76,0.43334
0.78,0.43738
0.8,0.43822
0.82,0.41257
0.84,0.3629
0.86,0.32839
0.88,0.33278
0.9,0.34419
0.92,0.33312
0.94,0.30331
0.96,0.27613
0.98,0.26875
1,0.28001
1.02,0.29631
1.04,0.306
1.06,0.30326
1.08,0.28843
1.1,0.26905
1.12,0.25792
1.14,0.26566
1.16,0.29091
1.18,0.32213
1.2,0.34726
1.22,0.35895
1.24,0.35556
1.26,0.33954
1.28,0.31664
1.3,0.29223
1.32,0.27041
1.34,0.25302
1.36,0.23888
1.38,0.22572
1.4,0.21111
1.42,0.19346
1.44,0.18666
1.46,0.18777
1.48,0.19017
1.5,0.19093
1.52,0.18919
1.54,0.18875
1.56,0.18833
1.58,0.18772
1.6,0.18694
1.62,0.18599
1.64,0.18487
1.66,0.18361
1.68,0.18281
1.7,0.1831
1.72,0.18335
1.74,0.18344
1.76,0.18334
1.78,0.18307
1.8,0.18265
1.82,0.18205
1.84,0.18126
1.86,0.18621
1.88,0.19505
1.9,0.20161
1.92,0.20679
1.94,0.21059
1.96,0.21553
1.98,0.22294
2,0.22872
2.02,0.23238
2.04,0.23381
2.06,0.23278
2.08,0.22918
2.1,0.2236
2.12,0.21626
2.14,0.20668
2.16,0.1952
2.18,0.18758
2.2,0.17961
2.22,0.16991
2.24,0.15896
2.26,0.15176
2.28,0.15002
2.3,0.14818
2.32,0.14615
2.34,0.14396
2.36,0.14158
2.38,0.13903
2.4,0.13639
2.42,0.13367
2.44,0.13097
2.46,0.12822
2.48,0.1254
2.5,0.12333
2.52,0.12283
2.54,0.12237
2.56,0.1218
2.58,0.12113
2.6,0.12038
2.62,0.11955
2.64,0.11864
2.66,0.11767
2.68,0.11664
2.7,0.11557
2.72,0.11445
2.74,0.11482
2.76,0.11537
2.78,0.11515
2.8,0.11418
2.82,0.11258
2.84,0.11062
2.86,0.10827
2.88,0.10691
2.9,0.10695
2.92,0.10817
2.94,0.10894
2.96,0.10928
2.98,0.10921
3,0.10876
3.02,0.10817
3.04,0.1078
3.06,0.10714
3.08,0.10615
3.1,0.10484
3.12,0.10324
3.14,0.10136
3.16,0.09923
3.18,0.09688
3.2,0.09437
3.22,0.09219
3.24,0.08998
3.26,0.08894
3.28,0.08804
3.3,0.08713
3.32,0.08625
3.34,0.08536
3.36,0.08449
3.38,0.08363
3.4,0.08278
3.42,0.08194
3.44,0.08111
3.46,0.08029
3.48,0.07948
3.5,0.07869
3.52,0.07791
3.54,0.07713
3.56,0.07637
3.58,0.07561
3.6,0.07486
3.62,0.07411
3.64,0.07336
3.66,0.07262
3.68,0.07189
3.7,0.07115
3.72,0.07043
3.74,0.06971
3.76,0.06899
3.78,0.06827
3.8,0.06755
3.82,0.06685
3.84,0.06615
3.86,0.06545
3.88,0.06475
3.9,0.06406
3.92,0.06338
3.94,0.0627
3.96,0.06202
3.98,0.06135
4,0.06068
