Period [sec],Acceleration
0,0.18029
0.02,0.18155
0.04,0.18588
0.06,0.19234
0.08,0.20842
0.1,0.23441
0.12,0.23329
0.14,0.28049
0.16,0.38516
0.18,0.4069
0.2,0.44185
0.22,0.46013
0.24,0.42508
0.26,0.37489
0.28,0.36396
0.3,0.4106
0.32,0.47434
0.34,0.49662
0.36,0.39279
0.38,0.34645
0.4,0.39794
0.42,0.52293
0.44,0.60015
0.46,0.51818
0.48,0.39837
0.5,0.34893
0.52,0.34048
0.54,0.29824
0.56,0.29253
0.58,0.3019
0.6,0.29946
0.62,0.30447
0.64,0.30265
0.66,0.29472
0.68,0.28149
0.7,0.26515
0.72,0.24842
0.74,0.23398
0.76,0.24525
0.78,0.2678
0.8,0.29128
0.82,0.31289
0.84,0.31634
0.86,0.3028
0.88,0.27634
0.9,0.24211
0.92,0.20854
0.94,0.1839
0.96,0.16902
0.98,0.16413
1,0.16052
1.02,0.15677
1.04,0.15295
1.06,0.14921
1.08,0.14535
1.1,0.14169
1.12,0.14879
1.14,0.15418
1.16,0.15546
1.18,0.15287
1.2,0.14743
1.22,0.14007
1.24,0.13122
1.26,0.12148
1.28,0.11283
1.3,0.11937
1.32,0.12356
1.34,0.12551
1.36,0.12593
1.38,0.12565
1.4,0.12538
1.42,0.12573
1.44,0.12684
1.46,0.12862
1.48,0.13093
1.5,0.13326
1.52,0.13856
1.54,0.14772
1.56,0.15584
1.58,0.16235
1.6,0.16684
1.62,0.16882
1.64,0.16796
1.66,0.16431
1.68,0.1588
1.7,0.15478
1.72,0.15142
1.74,0.14656
1.76,0.14082
1.78,0.13415
1.8,0.12818
1.82,0.12316
1.84,0.11775
1.86,0.11265
1.88,0.10842
1.9,0.10369
1.92,0.09841
1.94,0.09263
1.96,0.08981
1.98,0.08842
2,0.0866
2.02,0.08447
2.04,0.082
2.06,0.07923
2.08,0.07623
2.1,0.07304
2.12,0.06966
2.14,0.06643
2.16,0.0658
2.18,0.06514
2.2,0.06444
2.22,0.06396
2.24,0.06386
2.26,0.06371
2.28,0.06352
2.3,0.06329
2.32,0.06301
2.34,0.06268
2.36,0.06232
2.38,0.0619
2.4,0.06146
2.42,0.06097
2.44,0.06042
2.46,0.05986
2.48,0.05926
2.5,0.05861
2.52,0.05794
2.54,0.05726
2.56,0.05654
2.58,0.0558
2.6,0.05503
2.62,0.05426
2.64,0.05348
2.66,0.05268
2.68,0.05186
2.7,0.05103
2.72,0.05021
2.74,0.04938
2.76,0.04854
2.78,0.04829
2.8,0.0489
2.82,0.04938
2.84,0.04972
2.86,0.04992
2.88,0.05
2.9,0.04995
2.92,0.04978
2.94,0.04949
2.96,0.04911
2.98,0.04862
3,0.04817
3.02,0.04775
3.04,0.04726
3.06,0.04669
3.08,0.04609
3.1,0.04548
3.12,0.04482
3.14,0.04412
3.16,0.04363
3.18,0.04315
3.2,0.04259
3.22,0.04198
3.24,0.04131
3.26,0.04059
3.28,0.03982
3.3,0.03901
3.32,0.03875
3.34,0.03867
3.36,0.03854
3.38,0.03852
3.4,0.03854
3.42,0.03847
3.44,0.0383
3.46,0.03804
3.48,0.03769
3.5,0.03727
3.52,0.03679
3.54,0.0363
3.56,0.03577
3.58,0.03517
3.6,0.03459
3.62,0.0341
3.64,0.03368
3.66,0.03374
3.68,0.03366
3.7,0.03343
3.72,0.03306
3.74,0.03256
3.76,0.03193
3.78,0.0312
3.8,0.03048
3.82,0.03025
3.84,0.03
3.86,0.02974
3.88,0.02946
3.9,0.02916
3.92,0.02885
3.94,0.02853
3.96,0.02819
3.98,0.02784
4,0.02749
