Note,Latitude,Longitude,Ell.Height (m)
2,32.42471048,55.31805541,1142.951
3,32.42457953,55.31800183,1143.088
4,32.42444263,55.31794374,1143.303
5,32.42426723,55.31787115,1143.361
6,32.42409708,55.31780007,1143.504
7,32.42392911,55.31772986,1143.469
8,32.42375722,55.31765807,1143.42
9,32.42358784,55.31758731,1143.59
10,32.42345526,55.31750052,1143.912
11,32.42356748,55.31732128,1144.073
12,32.42367561,55.31721413,1144.212
13,32.4238488,55.31727473,1143.839
14,32.42402528,55.31734771,1143.426
15,32.42419633,55.31741948,1143.227
16,32.42436538,55.3174902,1143.123
17,32.42453373,55.31756145,1143.245
18,32.42470117,55.31763153,1143.411
19,32.42487245,55.31770299,1143.27
20,32.42504149,55.31777353,1143.145
21,32.42521013,55.31784504,1143.122
22,32.42538012,55.31791694,1142.912
23,32.4255105,55.31794042,1142.718
24,32.42563488,55.31778227,1142.785
25,32.4257023,55.31764775,1143.135
26,32.42553367,55.31756032,1143.419
27,32.42535683,55.3174836,1143.383
28,32.42518691,55.31741177,1143.555
29,32.42501905,55.31734138,1143.729
30,32.42484861,55.31726979,1143.841
31,32.4246791,55.31719833,1143.957
32,32.42451024,55.31712766,1144.079
33,32.42434021,55.31705652,1144.215
34,32.42417073,55.31698537,1144.441
35,32.424002,55.31691367,1144.79
36,32.42392198,55.31684971,1144.98
37,32.42403204,55.31667173,1145.081
38,32.42414309,55.3165626,1145.103
39,32.4243152,55.31662452,1144.462
40,32.42449204,55.31669705,1144.215
41,32.4246639,55.31676843,1144.289
42,32.42483135,55.31683882,1144.069
43,32.4250004,55.31691063,1144.021
44,32.42517125,55.31698279,1144.084
45,32.42533978,55.31705341,1144.19
46,32.42550827,55.31712436,1144.105
47,32.42567954,55.31719642,1144.013
48,32.42584652,55.31726649,1143.835
49,32.42596927,55.31728396,1143.727
50,32.42609477,55.31712408,1143.808
51,32.42615982,55.31699249,1144.191
52,32.42599004,55.31690442,1144.435
53,32.42581403,55.31682921,1144.235
54,32.42564366,55.31675734,1144.192
55,32.42547601,55.31668743,1144.018
56,32.42530819,55.31661773,1144.054
57,32.42513597,55.31654495,1144.149
58,32.42496804,55.31647375,1144.276
59,32.42479719,55.31640175,1144.361
60,32.42462762,55.31633088,1144.518
61,32.42446192,55.31626134,1144.823
62,32.42438768,55.31620002,1145.135
63,32.42449637,55.3160251,1145.338
64,32.42460795,55.31591285,1145.828
65,32.424781,55.31597261,1145.541
66,32.42495887,55.31604655,1145.339
67,32.42512897,55.31611757,1145.548
68,32.42529795,55.31618875,1145.386
69,32.4254685,55.31626061,1145.159
70,32.42563702,55.31633169,1144.908
71,32.4258054,55.31640208,1144.776
72,32.42597404,55.31647303,1144.678
