Note,Latitude,Longitude,Ell.Height (m)
2,32.43270575,55.30827957,1156.496
3,32.43283009,55.30833288,1156.285
4,32.43301002,55.3084072,1156.075
5,32.4331811,55.30847866,1156.165
6,32.43334993,55.30854841,1156.274
7,32.43351898,55.30861985,1156.101
8,32.43368837,55.30869111,1156.148
9,32.43385601,55.30876195,1156.133
10,32.43402495,55.30883344,1156.025
11,32.43419369,55.30890403,1155.861
12,32.43436368,55.30897469,1155.685
13,32.43453287,55.30904534,1155.294
14,32.43470177,55.30911334,1155.218
15,32.4347587,55.30910817,1155.332
16,32.43491075,55.3089896,1155.542
17,32.4350391,55.30886438,1156.077
18,32.43503226,55.30884581,1156.102
19,32.43486334,55.30876498,1155.965
20,32.434687,55.30868761,1156.163
21,32.43451997,55.30861706,1156.371
22,32.43435069,55.30854585,1156.444
23,32.43418487,55.30847596,1156.675
24,32.43401328,55.30840349,1156.931
25,32.4338472,55.3083336,1156.966
26,32.43367581,55.30826059,1156.843
27,32.4335081,55.30818951,1156.837
28,32.43334019,55.30811863,1156.786
29,32.43317224,55.30804755,1156.574
30,32.43300243,55.30797639,1156.955
31,32.43292903,55.30791718,1157.508
32,32.43305565,55.30774942,1157.252
33,32.43318232,55.3076397,1157.746
34,32.43335746,55.30770109,1157.455
35,32.43353228,55.30777379,1157.045
36,32.43370448,55.30784662,1157.002
37,32.43387238,55.3079178,1156.776
38,32.43404226,55.30798939,1156.647
39,32.4342107,55.30805971,1156.693
40,32.43438234,55.30813192,1156.813
41,32.43454915,55.30820209,1156.746
42,32.43472074,55.30827436,1156.556
43,32.43488988,55.3083452,1156.436
44,32.43505844,55.30841625,1156.315
45,32.43522837,55.3084875,1156.104
46,32.43539594,55.30854241,1156.137
47,32.43544076,55.30853025,1156.234
48,32.43557571,55.30841843,1156.358
49,32.43570405,55.30829018,1156.764
50,32.43569686,55.30827133,1156.634
51,32.43552917,55.30819364,1156.564
52,32.43535363,55.30811784,1156.76
53,32.435184,55.30804515,1157.199
54,32.43501645,55.30797463,1157.224
55,32.43484729,55.30790346,1157.145
56,32.43467578,55.30783199,1157.255
57,32.43450792,55.30776197,1157.185
58,32.43434055,55.30769106,1156.952
59,32.43416866,55.3076176,1156.809
60,32.43400078,55.30754628,1156.745
61,32.43382771,55.30747273,1156.788
62,32.43365951,55.30740234,1157.022
63,32.43349642,55.30733342,1157.453
64,32.43346949,55.30729379,1157.619
65,32.43359519,55.30712759,1157.851
66,32.43372182,55.30701985,1157.936
67,32.43389764,55.30707891,1157.589
68,32.43407093,55.30715047,1157.069
69,32.43423898,55.30722194,1156.728
71,32.4345794,55.30736614,1156.671
72,32.43474817,55.3074375,1156.797
73,32.43491814,55.30750897,1156.999
74,32.43508716,55.3075794,1157.038
75,32.43525553,55.30764945,1157.064
76,32.43542533,55.30772057,1157.096
77,32.43559744,55.30779264,1157.298
78,32.43576809,55.30786441,1157.564
79,32.43593499,55.30793494,1157.676
80,32.43608276,55.30796451,1157.88
81,32.43623643,55.30784523,1158.067
82,32.43636296,55.30771698,1158.558
83,32.43635543,55.30769774,1158.421
84,32.43619069,55.3076203,1158.004
85,32.43601356,55.30754499,1158.494
86,32.43584362,55.3074733,1158.923
87,32.43567519,55.30740245,1158.739
88,32.43550749,55.30733218,1158.541
89,32.43533955,55.30726132,1158.302
90,32.43517255,55.30719132,1157.8
91,32.43500091,55.30711921,1157.449
92,32.43483164,55.30704812,1157.684
93,32.43466379,55.3069775,1157.698
94,32.43449634,55.30690588,1157.557
95,32.43432419,55.30683207,1157.671
96,32.43415376,55.30676049,1158.029
97,32.43400906,55.30667693,1158.108
98,32.43413558,55.30650851,1158.239
99,32.4342648,55.30639976,1158.521
100,32.4344376,55.30645936,1158.34
101,32.43461523,55.30653195,1158.046
102,32.43478439,55.30660292,1158.057
103,32.43495257,55.30667462,1158.114
104,32.43512389,55.30674713,1158.193
105,32.43529264,55.30681796,1158.331
106,32.43546075,55.30688879,1158.377
107,32.43563004,55.30696005,1158.419
108,32.43580169,55.30703242,1158.476
109,32.43596886,55.30710232,1158.421
110,32.43613716,55.30717273,1158.261
111,32.43630937,55.30724435,1158.27
112,32.43647759,55.30731453,1158.185
113,32.43664679,55.30738744,1158.099
114,32.43674431,55.30739687,1158.334
115,32.43689593,55.30727928,1158.475
116,32.43702422,55.3071506,1158.854
117,32.43701672,55.30713189,1158.777
118,32.4368527,55.30705508,1158.55
119,32.43667428,55.30697686,1158.602
120,32.43650426,55.30690366,1159.176
121,32.43633578,55.30683303,1159.309
122,32.43616932,55.30676365,1159.312
