Note,Latitude,Longitude,Ell.Height (m)
2,32.43893203,55.30472925,1163.554
3,32.43902715,55.30480833,1163.212
4,32.43918158,55.30493526,1162.478
5,32.43933176,55.30506033,1162.28
6,32.43946558,55.3051352,1162.71
7,32.43961522,55.30501635,1162.719
8,32.43970745,55.30490528,1162.938
9,32.43955686,55.30476604,1162.913
10,32.43940902,55.30463853,1162.942
11,32.4392622,55.30451625,1163.446
12,32.43911615,55.30439639,1163.904
13,32.43896811,55.30427449,1164.072
14,32.43882259,55.304155,1163.902
15,32.4386762,55.30403285,1163.833
16,32.43852656,55.30390891,1163.99
17,32.43837866,55.30378738,1164.494
18,32.43823189,55.30366602,1164.907
19,32.43808568,55.3035398,1165.14
20,32.43804206,55.30348273,1165.262
21,32.43795572,55.30331914,1165.729
22,32.43786235,55.30313945,1166.233
23,32.43776795,55.30295587,1166.696
24,32.43767788,55.30277927,1167.096
25,32.43765942,55.30271502,1167.069
26,32.43782132,55.30283731,1166.542
27,32.43797125,55.30296238,1166.087
28,32.43812041,55.30308686,1165.931
29,32.43826674,55.30320849,1165.893
30,32.43841397,55.30332878,1165.876
31,32.4385624,55.30345126,1165.798
32,32.43870891,55.30357379,1165.647
33,32.43885724,55.30369649,1165.411
34,32.4390037,55.3038183,1164.999
35,32.43915135,55.30393876,1164.596
36,32.43929748,55.30405963,1164.262
37,32.43944592,55.30418484,1163.847
38,32.43959362,55.30430646,1163.719
39,32.43974154,55.30442839,1163.743
40,32.43989073,55.30455281,1163.834
41,32.44003698,55.30464005,1164.027
42,32.44019137,55.30451939,1163.997
43,32.44028178,55.30441175,1164.249
44,32.44013359,55.30427226,1164.224
45,32.4399822,55.30414385,1164.422
46,32.43983562,55.30402152,1164.918
47,32.43969047,55.30390225,1165.226
48,32.43954525,55.30378283,1165.201
49,32.4393991,55.30366201,1165.113
50,32.43925056,55.3035392,1165.104
51,32.43910393,55.30341807,1165.337
52,32.43895523,55.3032947,1165.517
53,32.43880843,55.30317282,1165.709
54,32.43866204,55.30305099,1165.912
55,32.43851241,55.30292739,1166.128
56,32.43836512,55.30280593,1166.535
57,32.43821823,55.30268462,1167.015
58,32.43807177,55.30256369,1167.489
59,32.43797175,55.30244645,1167.916
60,32.43812319,55.30231332,1167.964
61,32.43825576,55.30224616,1167.995
62,32.43841321,55.30236013,1167.486
63,32.43856644,55.3024844,1167.022
64,32.43871364,55.3026063,1166.783
65,32.43886061,55.3027277,1166.484
66,32.43900769,55.30285001,1166.207
67,32.43915753,55.30297445,1166.005
68,32.43930403,55.30309597,1165.929
69,32.43944968,55.30321669,1165.75
70,32.43959551,55.30333694,1165.385
71,32.43974164,55.30345767,1165.052
72,32.43989246,55.30358254,1165.021
73,32.44003686,55.30370155,1164.816
74,32.44018645,55.30382433,1164.364
75,32.44033382,55.30394598,1164.039
76,32.44048065,55.30406741,1163.729
77,32.44061279,55.30414082,1163.69
78,32.44076661,55.30402312,1163.712
79,32.44085698,55.30391307,1163.856
80,32.44071019,55.30377422,1164.109
81,32.44056102,55.30364746,1163.951
82,32.44041433,55.30352551,1164.179
83,32.44026477,55.30340259,1164.451
84,32.44011793,55.30328186,1164.792
85,32.43996964,55.30315895,1165.478
86,32.43982294,55.30303783,1166.215
87,32.43967642,55.30291678,1166.618
88,32.4395284,55.30279399,1166.883
89,32.43938144,55.30267226,1167.081
90,32.43923477,55.30255046,1167.222
91,32.43908939,55.30242981,1167.303
92,32.43893964,55.30230653,1167.326
93,32.43879277,55.30218556,1167.468
94,32.43864654,55.30206359,1167.77
95,32.43858928,55.30198012,1167.995
96,32.43873838,55.30184785,1168.487
97,32.43887448,55.30177934,1168.713
98,32.4390287,55.30189275,1168.202
99,32.43918105,55.30201623,1167.718
100,32.43932826,55.30213688,1167.645
101,32.4394747,55.30225986,1167.413
102,32.43962083,55.30238101,1166.988
103,32.43976944,55.30250285,1166.919
104,32.43991926,55.30262737,1167.156
105,32.44006533,55.30274838,1167.28
106,32.4402111,55.30286941,1166.886
107,32.44035879,55.30299191,1166.502
108,32.44050498,55.30311335,1166.353
109,32.44065227,55.30323451,1165.855
110,32.4407983,55.30335545,1165.329
111,32.44094694,55.30347937,1164.813
112,32.4410939,55.30360231,1164.571
113,32.44118402,55.30364093,1164.556
114,32.44133758,55.30352237,1164.716
115,32.44143046,55.30341542,1165.162
116,32.4412825,55.30327761,1165.259
117,32.44112889,55.30314687,1165.612
118,32.44098199,55.30302416,1166.293
119,32.44083523,55.30290218,1166.815
120,32.44068779,55.3027808,1167.193
121,32.44054124,55.30265699,1167.554
122,32.44039379,55.30253436,1167.755
123,32.44024645,55.30241369,1167.865
124,32.44009617,55.3022902,1168.114
125,32.43995028,55.30216937,1168.37
126,32.43980506,55.30204869,1168.655
127,32.43965665,55.30192569,1168.835
128,32.43950969,55.30180379,1168.991
129,32.43936279,55.30168331,1169.122
130,32.43922315,55.30156588,1169.072
131,32.43920376,55.30151605,1169.046
132,32.43935429,55.30138348,1169.232
133,32.43948736,55.3013144,1169.592
134,32.43964266,55.30142624,1169.473
135,32.43979742,55.30155325,1169.197
136,32.43994553,55.30167533,1169.358
137,32.44009235,55.30179709,1169.254
138,32.44023781,55.30191819,1169.116
139,32.44038464,55.30203904,1168.926
140,32.44053251,55.30216472,1168.693
141,32.440678,55.30228628,1168.473
142,32.44082394,55.3024053,1168.034
143,32.44097137,55.30252589,1167.667
144,32.44112095,55.30264869,1167.292
145,32.44126852,55.30277021,1167.159
146,32.44141547,55.30289194,1166.969
147,32.44156363,55.30301533,1166.809
148,32.44170872,55.3031315,1166.642
149,32.44175782,55.3031381,1166.693
150,32.44191005,55.30301956,1166.778
151,32.4420006,55.30291072,1167.032
152,32.44185155,55.30277254,1166.869
153,32.44169929,55.30264196,1167.255
154,32.44155349,55.30251954,1167.657
155,32.44140819,55.30239916,1167.899
156,32.44126301,55.30227977,1168.001
157,32.44111407,55.30215697,1168.084
158,32.44096534,55.30203475,1168.493
159,32.44082108,55.3019144,1168.668
160,32.4406723,55.30179047,1168.921
161,32.4405256,55.30166734,1169.308
162,32.4403793,55.30154412,1169.741
163,32.44023221,55.30142238,1170.151
164,32.44008582,55.30130121,1170.417
165,32.43993828,55.30117863,1170.753
166,32.43981949,55.30105033,1171.163
167,32.439969,55.30091554,1171.23
168,32.44010606,55.30084556,1171.564
169,32.44026126,55.30096276,1171.252
170,32.44041252,55.30108585,1171.059
171,32.44056221,55.3012088,1170.984
172,32.44070719,55.30132856,1170.619
173,32.44085407,55.30145034,1169.933
174,32.44099899,55.30156946,1169.507
175,32.44114694,55.30169278,1168.965
176,32.44129327,55.30181292,1168.424
177,32.44144027,55.30193481,1167.88
178,32.44158843,55.30205912,1167.568
179,32.44173465,55.30217964,1167.374
180,32.44188304,55.30230331,1167.219
181,32.44203104,55.30242527,1167.057
182,32.44218059,55.30254732,1167.149
183,32.44232868,55.30263559,1167.341
184,32.4424854,55.30251374,1167.016
185,32.44257617,55.30240597,1167.246
186,32.44242776,55.30226926,1167.338
187,32.44227579,55.30214393,1167.593
188,32.4421281,55.30202003,1167.912
189,32.44198091,55.30189813,1168.613
