run_id,scenario_type,scenario_param,T,L,C,p,h,w,s,demand_volatility,optimal_cost,collection_cost,holding_cost,shortage_cost,waste_cost,total_collected,total_shortage,total_waste,total_demand,service_level,shortage_frequency,avg_inventory
25,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.96653359278355,145544.0,7980.0,164.0,137400.0,0.0,399.0,687.0,0.0,1086.0,0.3674033149171271,0.5,5.857142857142857
26,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.64676091902722,146336.0,8000.0,136.0,138200.0,0.0,400.0,691.0,0.0,1091.0,0.36663611365719523,0.5,4.857142857142857
27,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,90.44606014591442,155746.0,8000.0,146.0,147600.0,0.0,400.0,738.0,0.0,1138.0,0.351493848857645,0.5714285714285714,5.214285714285714
28,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,90.95345299792032,150952.0,8000.0,152.0,142800.0,0.0,400.0,714.0,0.0,1114.0,0.3590664272890485,0.5714285714285714,5.428571428571429
29,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,81.96306410543117,142744.0,8000.0,144.0,134600.0,0.0,400.0,673.0,0.0,1073.0,0.3727865796831314,0.5714285714285714,5.142857142857143
30,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.86678576827683,146360.0,8000.0,160.0,138200.0,0.0,400.0,691.0,0.0,1091.0,0.36663611365719523,0.5,5.714285714285714
31,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,81.49549255095309,144748.0,8000.0,148.0,136600.0,0.0,400.0,683.0,0.0,1083.0,0.36934441366574333,0.6428571428571429,5.285714285714286
32,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.60917950775011,143720.0,7980.0,140.0,135600.0,0.0,399.0,678.0,0.0,1077.0,0.37047353760445684,0.5714285714285714,5.0
33,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.7679009196828,145760.0,8000.0,160.0,137600.0,0.0,400.0,688.0,0.0,1088.0,0.36764705882352944,0.5,5.714285714285714
34,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,80.01581476336348,142336.0,7980.0,156.0,134200.0,0.0,399.0,671.0,0.0,1070.0,0.3728971962616822,0.5714285714285714,5.571428571428571
35,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,81.02421532719558,143542.0,8000.0,142.0,135400.0,0.0,400.0,677.0,0.0,1077.0,0.3714020427112349,0.5714285714285714,5.071428571428571
36,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,79.62914680196042,139140.0,8000.0,140.0,131000.0,0.0,400.0,655.0,0.0,1055.0,0.3791469194312796,0.5,5.0
37,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.64310113420555,144542.0,7980.0,162.0,136400.0,0.0,399.0,682.0,0.0,1081.0,0.3691026827012026,0.5,5.785714285714286
38,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.22709826197655,143130.0,7980.0,150.0,135000.0,0.0,399.0,675.0,0.0,1074.0,0.3715083798882682,0.5,5.357142857142857
39,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.39251300020763,143334.0,7980.0,154.0,135200.0,0.0,399.0,676.0,0.0,1075.0,0.37116279069767444,0.5,5.5
40,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.73285513138818,149132.0,7980.0,152.0,141000.0,0.0,399.0,705.0,0.0,1104.0,0.36141304347826086,0.5,5.428571428571429
41,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,81.79195235099695,141314.0,7980.0,134.0,133200.0,0.0,399.0,666.0,0.0,1065.0,0.37464788732394366,0.5,4.785714285714286
42,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,92.93592811552416,156128.0,7980.0,148.0,148000.0,0.0,399.0,740.0,0.0,1139.0,0.35030728709394204,0.6428571428571429,5.285714285714286
43,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.64822478812137,147328.0,7980.0,148.0,139200.0,0.0,399.0,696.0,0.0,1095.0,0.3643835616438356,0.5714285714285714,5.285714285714286
44,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.69501433302888,151544.0,8000.0,144.0,143400.0,0.0,400.0,717.0,0.0,1117.0,0.35810205908683973,0.5714285714285714,5.142857142857143
45,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.14487702577091,153146.0,8000.0,146.0,145000.0,0.0,400.0,725.0,0.0,1125.0,0.35555555555555557,0.5,5.214285714285714
46,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,81.29967869002952,140944.0,7980.0,164.0,132800.0,0.0,399.0,664.0,0.0,1063.0,0.3753527751646284,0.5,5.857142857142857
47,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.50009165337754,146338.0,7980.0,158.0,138200.0,0.0,399.0,691.0,0.0,1090.0,0.3660550458715596,0.5714285714285714,5.642857142857143
48,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,90.19991967958775,151916.0,7960.0,156.0,143800.0,0.0,398.0,719.0,0.0,1117.0,0.35631154879140553,0.5,5.571428571428571
49,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.61793577740046,144960.0,8000.0,160.0,136800.0,0.0,400.0,684.0,0.0,1084.0,0.36900369003690037,0.5714285714285714,5.714285714285714
50,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.54414661686774,148532.0,7980.0,152.0,140400.0,0.0,399.0,702.0,0.0,1101.0,0.36239782016348776,0.5714285714285714,5.428571428571429
51,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.80547261081261,144752.0,8000.0,152.0,136600.0,0.0,400.0,683.0,0.0,1083.0,0.36934441366574333,0.5,5.428571428571429
52,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.67544434879596,147350.0,8000.0,150.0,139200.0,0.0,400.0,696.0,0.0,1096.0,0.36496350364963503,0.5,5.357142857142857
53,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,88.55910052453268,149534.0,7980.0,154.0,141400.0,0.0,399.0,707.0,0.0,1106.0,0.36075949367088606,0.5,5.5
54,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,80.24554155076474,138770.0,8020.0,150.0,130600.0,0.0,401.0,653.0,0.0,1054.0,0.38045540796963945,0.5,5.357142857142857
