
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-04


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.24
Magnitude Max:, 7.68
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
16, SRSS, 51, -, 1.0, -, 27.6, 54.2, 0.0, "San Fernando", 1971, "2516 Via Tejon PV", 6.61, Reverse, 55.2, 55.2, 280.56, 0.25, 1.0, RSN51_SFERN_PVE065.AT2, RSN51_SFERN_PVE155.AT2 , RSN51_SFERN_PVEDWN.AT2  
17, SRSS, 52, -, 1.0, -, 8.1, 15.4, 0.0, "San Fernando", 1971, "Anza Post Office", 6.61, Reverse, 173.16, 173.16, 360.45, 0.625, 1.0, RSN52_SFERN_AZP045.AT2, RSN52_SFERN_AZP315.AT2 , RSN52_SFERN_AZPDWN.AT2  
18, SRSS, 53, -, 1.0, -, 24.1, 35.3, 0.0, "San Fernando", 1971, "Bakersfield - Harvey Aud", 6.61, Reverse, 111.88, 113.02, 241.41, 0.125, 1.0, RSN53_SFERN_BFA180.AT2, RSN53_SFERN_BFA270.AT2 , RSN53_SFERN_BFA-UP.AT2  
19, SRSS, 54, -, 1.0, -, 13.6, 22.0, 0.0, "San Fernando", 1971, "Borrego Springs Fire Sta", 6.61, Reverse, 214.32, 214.32, 338.54, 0.125, 1.0, RSN54_SFERN_BSF135.AT2, RSN54_SFERN_BSF225.AT2 , RSN54_SFERN_BSFDWN.AT2  
20, SRSS, 55, -, 1.0, -, 13.6, 21.6, 0.0, "San Fernando", 1971, "Buena Vista - Taft", 6.61, Reverse, 111.37, 112.52, 385.69, 0.125, 1.0, RSN55_SFERN_BVP090.AT2, RSN55_SFERN_BVP180.AT2 , RSN55_SFERN_BVPDWN.AT2  
21, SRSS, 56, -, 1.0, -, 9.0, 18.9, 0.1, "San Fernando", 1971, "Carbon Canyon Dam", 6.61, Reverse, 61.79, 61.79, 235.0, 0.625, 1.0, RSN56_SFERN_CND130.AT2, RSN56_SFERN_CND220.AT2 , RSN56_SFERN_CNDDWN.AT2  
22, SRSS, 57, -, 1.0, -, 10.6, 16.8, 1.0, "San Fernando", 1971, "Castaic - Old Ridge Route", 6.61, Reverse, 19.33, 22.63, 450.28, 0.375, 1.0, RSN57_SFERN_ORR021.AT2, RSN57_SFERN_ORR291.AT2 , RSN57_SFERN_ORRDWN.AT2  
23, SRSS, 58, -, 1.0, -, 4.6, 10.2, 0.0, "San Fernando", 1971, "Cedar Springs Pumphouse", 6.61, Reverse, 92.25, 92.59, 477.22, 0.125, 1.0, RSN58_SFERN_CSP126.AT2, RSN58_SFERN_CSP216.AT2 , RSN58_SFERN_CSPDWN.AT2  
24, SRSS, 59, -, 1.0, -, 5.8, 10.4, 0.0, "San Fernando", 1971, "Cedar Springs_ Allen Ranch", 6.61, Reverse, 89.37, 89.72, 813.48, 0.375, 1.0, RSN59_SFERN_CSM095.AT2, RSN59_SFERN_CSM185.AT2 , RSN59_SFERN_CSMDWN.AT2  
25, SRSS, 60, -, 1.0, -, 17.9, 25.5, 0.0, "San Fernando", 1971, "Cholame - Shandon Array #2", 6.61, Reverse, 217.54, 218.13, 184.75, 0.125, 1.0, RSN60_SFERN_C02051.AT2, RSN60_SFERN_C02321.AT2 , RSN60_SFERN_C02DWN.AT2  
