
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-04


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.24
Magnitude Max:, 7.68
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
0.45,0.43432885,1.45732771,0.12944347,0.94684284,0.12851628,0.2565657,0.15949155,0.21366964,0.18252564,0.34217118,0.65028001,0.47151791,0.19695865,0.2117225,0.03360826,0.03687424,0.02485436,0.12421174,0.09698307,0.15393399,0.02482414,0.02749681,0.03168209,0.18121299,0.85876156,0.07847267,0.04356967,0.01179596,0.02169712,0.10483109,0.11068595,0.03673497,0.21764981,0.09290179,0.02097561,0.435789,0.12040468,0.32200615,0.32653676,0.31226233,0.15815334,0.02746402,0.02762529,0.03153522,2.95250586,0.25130754,0.44730851,0.31255636,0.20753976,0.06391956,0.18258713,0.01983707,0.10600932,0.04128232,0.12440516,0.21289732,0.06104602,0.06014929,0.23838656,0.03552723,0.21102189,0.15933101,1.18901879,0.03392567,0.27039773,0.14103458,0.03764806,1.12056442,1.4265381,0.10449259,0.37518895,1.01341164,0.24017849,0.11857033,0.09921738,2.43880384,0.75904721,0.67557832,2.31082581,0.5172653,0.74835459,0.20257947,0.63731129,0.84697025,0.4996781,0.39772178,0.90028307,0.72528618,0.88529515,0.29521144,0.64768564,1.08840071,0.36658133,0.33251659,0.61559701,0.96797738,1.44879221,0.91052892,1.19752734,1.06226975,1.26153007,0.63579327,0.343872
0.46,0.42789724,1.42464963,0.12852006,0.97191692,0.13115616,0.24344026,0.16481775,0.22270181,0.17394878,0.35631846,0.61062884,0.45399054,0.18444926,0.21338221,0.0368612,0.03726384,0.02480509,0.11753665,0.09213389,0.1565237,0.02397445,0.02992248,0.03094405,0.17760892,0.87573528,0.07611122,0.04260899,0.01171959,0.02032879,0.1047687,0.10788358,0.03514318,0.20736921,0.09472365,0.01951836,0.38002423,0.12502624,0.32690331,0.31940336,0.29567563,0.14755688,0.02579085,0.025916,0.03053938,2.81792828,0.26492338,0.4032575,0.30785099,0.19142299,0.06706294,0.17684101,0.01965814,0.10738353,0.04063014,0.12297186,0.19642265,0.05324713,0.06240957,0.22333087,0.03438303,0.20331661,0.14446852,1.1605728,0.03460286,0.25088882,0.14391242,0.03615568,1.1301767,1.4016715,0.10322954,0.39305691,0.96877879,0.23774839,0.12719138,0.09658778,2.44981513,0.77289441,0.6678021,2.17055304,0.51062252,0.78947558,0.18839233,0.59003346,0.83550851,0.50499172,0.38455937,0.90676663,0.7941821,0.88789344,0.29582441,0.63427353,1.06241367,0.34066973,0.32153953,0.62857135,0.97292925,1.43344021,0.8871231,1.18425311,1.05509793,1.27861311,0.65413377,0.33819699
0.48,0.4213267,1.4278868,0.12432091,0.92190438,0.13248436,0.23687017,0.17758235,0.22277505,0.18010635,0.40669984,0.54625706,0.44199564,0.14923739,0.21736973,0.04045857,0.03723754,0.02566371,0.10544679,0.08523648,0.14690066,0.02111077,0.03147014,0.03037797,0.16543951,0.85874828,0.07337117,0.04264546,0.01160262,0.01872099,0.09684993,0.10505517,0.03171094,0.18365068,0.08750046,0.02054999,0.42241308,0.12726038,0.34976056,0.31306844,0.27623728,0.12346169,0.02905439,0.02484671,0.03022171,2.98241894,0.29274921,0.33488909,0.27910028,0.16049624,0.06942617,0.16453374,0.01885959,0.11417431,0.04081524,0.11234341,0.20738134,0.04784237,0.06353682,0.18063663,0.03034546,0.20640139,0.13165208,1.23711759,0.0354112,0.226439,0.14514632,0.03310815,1.13408572,1.34109888,0.10465259,0.40076835,0.93321562,0.22386032,0.13697557,0.09014224,2.39379077,0.73318604,0.66624167,2.02014358,0.49394337,0.78765804,0.17442434,0.61225857,0.78613959,0.5334025,0.35543826,0.93293944,0.88186908,0.88639185,0.26652963,0.65550174,1.0084577,0.28706942,0.30055468,0.65706694,0.96342343,1.44476566,0.88816779,1.09722092,1.03772539,1.23398416,0.69203489,0.31336197
0.5,0.41826956,1.42863005,0.12245958,0.90105702,0.14452156,0.21168536,0.18830973,0.22124166,0.18223194,0.42293589,0.51710021,0.46259893,0.15560349,0.20633029,0.03588479,0.03731142,0.02676279,0.10198502,0.08957329,0.12200366,0.01974836,0.02820142,0.02781476,0.14022858,0.83508616,0.07505762,0.04379019,0.01241694,0.0181834,0.08841437,0.11642865,0.02557132,0.15946138,0.09576932,0.01924163,0.4285791,0.11547768,0.39313623,0.29864534,0.24434344,0.10369706,0.03334929,0.02311457,0.02982396,2.98217956,0.32579034,0.29841828,0.24055531,0.17095546,0.06873936,0.15829076,0.02069795,0.13491184,0.0463851,0.09865618,0.21070129,0.04785562,0.05849232,0.13984457,0.0283833,0.20627695,0.13207813,1.27109976,0.03532805,0.22736235,0.13692477,0.03637741,1.26112784,1.66457886,0.11824297,0.39001141,0.88165736,0.2322569,0.13367293,0.07949795,2.30694448,0.70571167,0.75722749,1.88797341,0.47666596,0.7522244,0.16032468,0.54902926,0.76583105,0.56180948,0.34265457,0.91931424,0.89443904,0.87501438,0.25715352,0.67384562,0.94819875,0.29393265,0.28879247,0.74397339,0.94508395,1.4420174,0.8522269,0.98953347,1.00752509,1.22038737,0.70149,0.2675631
0.55,0.39411532,1.31760887,0.11788543,0.9216154,0.18987463,0.21357841,0.14680926,0.2015794,0.22900884,0.37613499,0.36343282,0.51941536,0.19244152,0.18791596,0.0379791,0.03368326,0.02879954,0.09642829,0.07812137,0.07847414,0.02040516,0.02556062,0.0247391,0.11392228,0.70083241,0.07138905,0.04529648,0.01170994,0.01781284,0.07433856,0.13824418,0.02398919,0.14227481,0.10531751,0.02125063,0.44896615,0.1096277,0.35885443,0.24168026,0.19726567,0.08709131,0.03028146,0.02729848,0.01954343,1.99518927,0.39786415,0.26344221,0.20487702,0.14097,0.06528734,0.12423188,0.02220671,0.16725846,0.04602202,0.11203084,0.18433281,0.0457981,0.05619596,0.09453108,0.03425714,0.16451247,0.11657384,0.91703028,0.03387301,0.20437964,0.11963657,0.04192762,1.08811956,1.88815885,0.12995573,0.38687027,0.84564994,0.16886931,0.14808423,0.07251693,2.25523423,0.62815165,0.89524261,2.28144576,0.51034113,0.75523966,0.1648976,0.52127659,0.80919834,0.6170426,0.31654464,0.78446408,0.82564859,1.01329864,0.22579084,0.58966821,0.82336224,0.29592989,0.31135102,0.63536032,0.86271517,1.11875725,0.87992904,0.98956406,0.98668567,1.21983453,0.67574659,0.18517405
0.6,0.37018738,1.2026345,0.11394875,0.78606046,0.1714615,0.29307598,0.11015531,0.13610312,0.22572749,0.31873049,0.45328683,0.52354069,0.20751219,0.2103524,0.0485469,0.03085563,0.03178534,0.08934883,0.07077842,0.06537224,0.02435362,0.0250352,0.01978228,0.10489396,0.58876911,0.06344756,0.03713881,0.01326573,0.01533472,0.06252646,0.14441149,0.02218628,0.12952911,0.09266733,0.01701603,0.37027786,0.11053942,0.38583691,0.19668258,0.2308494,0.09455836,0.02802015,0.02939535,0.01894999,1.46956141,0.3546353,0.2440142,0.22071917,0.10410313,0.0780717,0.15529345,0.02190196,0.1226214,0.03728214,0.11792297,0.17370957,0.03734589,0.07189375,0.0975756,0.03746188,0.18604752,0.09758655,0.9076387,0.03431743,0.23214061,0.1147261,0.04540883,1.0408581,1.4938793,0.10339946,0.27082374,0.73548998,0.17652727,0.1884852,0.05674242,2.0274758,0.57147486,0.8279182,2.2639501,0.48177115,0.52984056,0.1615508,0.58025701,1.0217788,0.56227199,0.27646158,0.92312725,0.86546517,1.11248575,0.18245327,0.42020392,0.71384452,0.30210156,0.29008758,0.67744358,0.80413109,0.86310181,0.94118172,1.05416571,1.05003453,1.17746058,0.53219799,0.17815448
0.65,0.34591053,1.09284915,0.10948821,0.66711218,0.12557831,0.30762095,0.10772812,0.14600947,0.27767511,0.29131162,0.47163869,0.52762492,0.19001157,0.23401555,0.0481857,0.03218102,0.03403356,0.08268081,0.07400845,0.05626821,0.02538142,0.02313491,0.01675218,0.09023001,0.55376353,0.05359054,0.033845,0.01447349,0.018213,0.04195192,0.14723712,0.01661362,0.11639504,0.09468587,0.01472155,0.29604302,0.10266612,0.5005464,0.17383044,0.2150156,0.09011534,0.02933731,0.02443952,0.019597,1.40222134,0.28275064,0.24242288,0.18167693,0.09819285,0.08866983,0.15787949,0.01816373,0.10159141,0.03889093,0.09540438,0.15588904,0.02652915,0.072481,0.08998299,0.03222448,0.20126952,0.07458693,0.91550286,0.03555913,0.25568005,0.11372783,0.04892777,1.07740496,1.37756354,0.09798988,0.26133805,0.58114132,0.16045423,0.164596,0.04727485,1.61300119,0.496165,0.57546966,1.88443899,0.42037126,0.45214013,0.17230038,0.58789673,1.10026369,0.4768353,0.24575419,0.94125107,0.78555599,1.11506562,0.1943006,0.38599744,0.69307,0.26891525,0.22033366,0.59377008,0.77902883,0.77743907,0.91765286,1.32554678,0.90957785,1.01976701,0.5566469,0.1982456
0.667,0.33813398,1.06297615,0.10756082,0.65835875,0.10518427,0.29244007,0.10607087,0.14621349,0.28249122,0.28930403,0.46797221,0.5518686,0.16869546,0.23149763,0.04430734,0.03237362,0.03590377,0.07913485,0.07459144,0.05741317,0.024651,0.02147264,0.0169718,0.08989755,0.53938236,0.05340541,0.03172946,0.01452103,0.01917783,0.04331558,0.14707826,0.01523477,0.10795813,0.08777667,0.01373504,0.30277744,0.11248357,0.52766699,0.17467142,0.20310124,0.09236798,0.02733618,0.02449458,0.02107589,1.22692697,0.26130107,0.25271633,0.17460002,0.09041197,0.0836763,0.16195223,0.01664827,0.10329231,0.04020875,0.09205444,0.14865492,0.02369846,0.07174439,0.08885196,0.03054061,0.19269377,0.06827804,0.87942856,0.03599396,0.2785068,0.11995092,0.04692683,1.05379656,1.38594067,0.09425606,0.2368367,0.57874053,0.15179291,0.1518303,0.04919569,1.77286966,0.51055745,0.55659552,1.55929809,0.40286224,0.44431373,0.17571428,0.54022964,1.12469325,0.45600109,0.23691461,0.90821648,0.75573488,1.0959412,0.19774894,0.37131623,0.62682084,0.27523078,0.19499809,0.5817226,0.77736668,0.78118021,0.90434822,1.41562687,0.85166556,1.01498986,0.55062665,0.20226336
0.7,0.3285257,1.07915475,0.10001266,0.70334729,0.08322541,0.23541345,0.08950439,0.14116924,0.23845549,0.32228088,0.46493516,0.58325923,0.1381982,0.21785772,0.04319348,0.03231829,0.03547492,0.07322911,0.07345026,0.05558852,0.0240767,0.02449152,0.01872565,0.08909945,0.51014764,0.05316929,0.02670536,0.01327559,0.02277175,0.04162871,0.15192087,0.01315151,0.11157027,0.07015705,0.01283886,0.27435237,0.09956131,0.53465528,0.17487785,0.17727012,0.09264772,0.02236229,0.02183313,0.02262617,1.10049997,0.23149727,0.23157023,0.20116362,0.08349398,0.0814101,0.16365006,0.01637825,0.09802939,0.04010978,0.08713805,0.14682873,0.02025921,0.06784759,0.07919248,0.02744943,0.16945716,0.06110286,0.74864619,0.0355378,0.29594768,0.13862418,0.04031253,0.95152049,1.29446475,0.07488521,0.23403367,0.51686175,0.15342312,0.14469643,0.05859651,2.10099691,0.49999527,0.61340966,1.50922844,0.37793434,0.44500093,0.17584579,0.45205092,1.077596,0.41455345,0.23496589,0.82076539,0.72213979,1.03906697,0.20240247,0.34404333,0.58183122,0.27490925,0.1566003,0.60590568,0.77601344,0.78462438,0.9013855,1.53076053,0.80165627,0.97691536,0.52767551,0.17485071
0.75,0.3137788,1.11096504,0.08862307,0.61563077,0.07509524,0.16001774,0.09334206,0.15669633,0.21152685,0.32369126,0.36322929,0.60704195,0.10500342,0.19857466,0.04418435,0.0337523,0.03359894,0.07990615,0.06484884,0.05298689,0.01956043,0.0259335,0.01917698,0.078375,0.49369217,0.0419146,0.02558523,0.01306761,0.02487921,0.03987782,0.15196854,0.01146711,0.10131415,0.05760811,0.01572651,0.26715178,0.08604553,0.47448223,0.17001371,0.14598308,0.0861708,0.02402845,0.02073401,0.01903443,1.07792202,0.21468882,0.21295677,0.24446065,0.06771852,0.08320226,0.1547551,0.01363554,0.09142679,0.03980496,0.08887687,0.14534119,0.01662118,0.06712861,0.05470508,0.0247263,0.1441197,0.05187993,0.59499302,0.03642843,0.32268486,0.14996702,0.032348,0.75029798,1.20832161,0.05648009,0.22596513,0.54166218,0.13896447,0.14317681,0.07673302,2.51707806,0.50419166,0.62490882,1.38109946,0.36356241,0.39309751,0.16612073,0.46759444,0.94249456,0.34640639,0.21596337,0.78796855,0.64853143,0.939768,0.17579367,0.32820459,0.60844964,0.24679837,0.18524409,0.53593217,0.7641496,0.75540355,0.97753822,1.57045192,0.66539652,0.9347674,0.49522669,0.13082714
0.8,0.29989034,1.00938842,0.08909773,0.66809042,0.0733513,0.15291311,0.103499,0.17903995,0.18720537,0.35223684,0.42171166,0.59873633,0.1093968,0.1891047,0.04640881,0.03567529,0.03777943,0.0778859,0.06902887,0.05273147,0.02149319,0.03186735,0.01911306,0.06074295,0.49655383,0.04421993,0.02636572,0.0151228,0.0222524,0.03552315,0.14608228,0.01058317,0.09269068,0.05169749,0.01632232,0.33285668,0.07720574,0.40137906,0.16940623,0.13806582,0.08013882,0.024765,0.01855304,0.01632774,1.23729414,0.19947325,0.28763719,0.23928307,0.07302326,0.10054568,0.13426726,0.01412539,0.09938108,0.03521763,0.07668508,0.13948903,0.01311508,0.06216581,0.05722431,0.02591655,0.1242889,0.04879597,0.58675018,0.03650332,0.31946373,0.1430007,0.02613633,0.64878647,1.17649907,0.05439475,0.23995888,0.5407869,0.12225895,0.14382112,0.08091321,2.02876023,0.51946724,0.58444565,1.34012708,0.35690042,0.31206259,0.1526659,0.44554023,0.80983919,0.28236262,0.17683743,0.63580519,0.62902412,0.83589877,0.1434314,0.32102421,0.54093945,0.23833741,0.17488694,0.47555593,0.86027112,0.71311328,1.01190316,1.49169117,0.65588405,0.85495169,0.46930563,0.13667545
0.85,0.2878923,0.96838477,0.08558786,0.65848916,0.07834224,0.14079792,0.09695229,0.18100597,0.19386145,0.37764738,0.42879221,0.54250525,0.11231095,0.20504006,0.04057127,0.0324691,0.03461858,0.08098602,0.06865827,0.04061079,0.019126,0.0324422,0.01932604,0.0549078,0.49093137,0.04279142,0.03143958,0.01585098,0.0221153,0.03247051,0.1402614,0.01160692,0.08608122,0.0582702,0.01709273,0.38180721,0.06672237,0.38210396,0.185487,0.14177003,0.07464663,0.02515185,0.01958006,0.0155919,1.33759509,0.23558404,0.32818606,0.21176726,0.07861371,0.08836994,0.11584793,0.01235355,0.10576069,0.03265605,0.06542589,0.13741441,0.01214155,0.06363775,0.05277896,0.02612346,0.1112959,0.05036026,0.62857424,0.03626121,0.27769987,0.11408076,0.01945389,0.53460526,1.03112409,0.04370151,0.25735469,0.46402002,0.1068324,0.13099985,0.0720413,1.89343721,0.48075594,0.60532438,1.33524157,0.35257038,0.29649267,0.14123303,0.42753606,0.74524427,0.23844717,0.16676474,0.66158862,0.57707852,0.75987383,0.11833816,0.29241609,0.41098831,0.22582423,0.14043186,0.45487847,0.89130145,0.84229985,0.9533567,1.37263134,0.64627238,0.73518504,0.43984695,0.11997559
0.9,0.26688576,0.87297436,0.08159232,0.60079755,0.07081931,0.13451078,0.08776278,0.18160214,0.22170422,0.37740037,0.35169525,0.50154746,0.1201737,0.22324222,0.03307805,0.03270286,0.03469356,0.07611284,0.07523953,0.0333188,0.01873304,0.02751296,0.01591399,0.05330656,0.46534296,0.04055912,0.0336382,0.01618566,0.02228969,0.02764951,0.13166973,0.01218622,0.08369492,0.05524037,0.01911375,0.30818053,0.06173852,0.39944838,0.1833217,0.14691505,0.06965436,0.02458693,0.02071366,0.01372074,1.38574803,0.24538108,0.28373527,0.19941269,0.06440325,0.0783842,0.09354903,0.01371433,0.10538411,0.03219837,0.05675911,0.16826912,0.01098771,0.06378141,0.05647052,0.02556592,0.09524838,0.04768712,0.58527328,0.03391003,0.24347754,0.10049039,0.01530401,0.45421877,0.96532456,0.0377989,0.26382139,0.41659257,0.0814976,0.12208132,0.06749783,1.61265923,0.47965696,0.55552538,1.07146575,0.3590582,0.2529869,0.13854823,0.32643106,0.58066311,0.20108813,0.14350545,0.66956772,0.58251487,0.674399,0.11333777,0.296764,0.35268897,0.23830418,0.16018689,0.41316501,0.85839328,0.86891653,0.89891531,1.21403241,0.61197166,0.64305615,0.41409485,0.13499273
0.95,0.24706109,0.78238992,0.07801632,0.57615643,0.05447707,0.11646441,0.07952886,0.17047649,0.20781884,0.39408086,0.27106667,0.47778875,0.14734028,0.22377172,0.03015666,0.0301583,0.02979541,0.06895992,0.07273345,0.03094554,0.0186878,0.02275651,0.0165791,0.04914477,0.42360666,0.03778013,0.03372639,0.01430902,0.02084607,0.02452988,0.12172198,0.01130901,0.08229052,0.04298931,0.01972245,0.30872557,0.05638763,0.41521755,0.18303073,0.14634631,0.06420451,0.02320955,0.02031954,0.01337035,1.40089343,0.19804101,0.25458005,0.18456027,0.06023972,0.08588518,0.07252902,0.01567436,0.10800343,0.03510251,0.05362344,0.19710045,0.00983614,0.05837194,0.04806447,0.02542321,0.08788751,0.05043517,0.51398868,0.02850132,0.21013043,0.09540013,0.01345967,0.40816846,0.93810546,0.04087881,0.24494109,0.43701385,0.07276605,0.12227225,0.07605011,1.29910135,0.45450267,0.47629243,0.80011513,0.36217563,0.22941834,0.1439422,0.27653971,0.5345959,0.16495692,0.14546473,0.62157681,0.57471034,0.608432,0.11271659,0.3181695,0.3095096,0.21756821,0.15737464,0.35713207,0.79502311,0.83964137,0.8269757,1.05752393,0.54958885,0.59536508,0.42245856,0.15477858
1.0,0.23100161,0.71956168,0.07415868,0.54619215,0.04455449,0.09990241,0.07474993,0.15552658,0.18755703,0.39135433,0.23829159,0.46767203,0.15679497,0.22530455,0.0318545,0.0282077,0.02802737,0.06586934,0.06679777,0.02673833,0.01861883,0.01867401,0.01713606,0.04426452,0.38060774,0.0309344,0.03130008,0.01351792,0.01984264,0.02482241,0.11174447,0.01062773,0.08643957,0.04313129,0.01819427,0.29425263,0.05134107,0.41578239,0.17053468,0.13958441,0.05767391,0.02143497,0.01833989,0.0147848,1.45811371,0.20583206,0.21306985,0.16440732,0.05882129,0.08648216,0.05808478,0.01551471,0.10184111,0.03163992,0.04805792,0.18814192,0.00953067,0.05708452,0.04005626,0.02385782,0.0862497,0.0511127,0.44049168,0.02416799,0.17657821,0.08544203,0.01212035,0.38475072,0.90346038,0.04102851,0.19676191,0.41719589,0.06243528,0.12034228,0.07610103,0.98548974,0.47189802,0.38328306,0.62047665,0.36009027,0.24183095,0.14123074,0.31072886,0.51973721,0.14929475,0.11467137,0.54973929,0.5565889,0.55482488,0.12506572,0.36473485,0.33669981,0.24850122,0.16505316,0.3024382,0.73420635,0.79720172,0.74772597,0.93904397,0.5059976,0.55434664,0.43219324,0.15931328
1.1,0.21695513,0.69358951,0.06786367,0.46101209,0.04138648,0.07052369,0.06778466,0.13780256,0.136577,0.31536686,0.21892338,0.45101312,0.14511224,0.24755644,0.03189137,0.02367204,0.02963556,0.06432511,0.05641776,0.01870194,0.02012799,0.01405374,0.01588018,0.03650059,0.31694482,0.02205802,0.02648314,0.01742697,0.01948866,0.02366031,0.09323082,0.01184051,0.08847181,0.03613013,0.01154322,0.24526994,0.06054891,0.40327868,0.14248125,0.11571835,0.04996701,0.02179774,0.0158627,0.01426157,1.450158,0.20518521,0.20275718,0.14611981,0.05790103,0.07729932,0.04890416,0.01429885,0.08569144,0.0354832,0.04426797,0.13519083,0.00813938,0.04622794,0.03001459,0.0234696,0.07780596,0.04474262,0.36557884,0.01896509,0.15085514,0.07323799,0.00837846,0.32919358,0.94448475,0.03899321,0.14921141,0.32315727,0.05293714,0.12520831,0.06343352,0.83194952,0.56052853,0.41754319,0.68585722,0.34273879,0.23411094,0.15434342,0.41767847,0.42743092,0.13187774,0.09949518,0.39068221,0.51307312,0.54738235,0.12477071,0.4286198,0.37280702,0.25619971,0.15696655,0.31299794,0.70922942,0.69809678,0.62165875,0.85951182,0.50808192,0.56166148,0.46351924,0.14867952
1.2,0.20627765,0.66600816,0.06388881,0.47675766,0.03890017,0.05380349,0.0769277,0.12184995,0.11524325,0.29398783,0.20660291,0.48222808,0.13180194,0.25926846,0.03095847,0.02325226,0.02686003,0.05704777,0.06263903,0.01448803,0.01748847,0.0148243,0.01461077,0.03024959,0.26197333,0.0208807,0.02344045,0.01542359,0.01876399,0.01973648,0.08244347,0.01064325,0.08399734,0.02902187,0.0107351,0.27452957,0.05464466,0.34729626,0.11640392,0.09668922,0.05073221,0.02441134,0.01455887,0.01255879,1.33781897,0.24158391,0.14948388,0.11593473,0.06021852,0.06816093,0.04538676,0.01266527,0.07474597,0.03159859,0.04088502,0.112047,0.00719819,0.04352312,0.02654425,0.02073381,0.07761031,0.04018748,0.31204239,0.01719572,0.15641132,0.05488238,0.00658321,0.28646749,0.67214764,0.03677362,0.17492718,0.31593904,0.05408445,0.1118127,0.0529438,1.00403144,0.49726999,0.55542642,0.582505,0.32075654,0.20226783,0.13213933,0.34395164,0.35030672,0.12050612,0.11290448,0.38640567,0.56233221,0.57373197,0.11096194,0.47950662,0.38322766,0.2221697,0.13380217,0.33463393,0.6392003,0.59486287,0.5585793,0.75972569,0.64299617,0.61237649,0.42969634,0.10427855
1.3,0.19126335,0.62200552,0.05881245,0.39788503,0.04129216,0.04327926,0.08793266,0.1144272,0.11317284,0.27264699,0.18554482,0.49366574,0.11638831,0.26328373,0.03273497,0.02821306,0.02489964,0.05723122,0.06002705,0.01407096,0.01154889,0.01297287,0.01341607,0.03160203,0.22323149,0.01916107,0.02200914,0.01174879,0.01518915,0.01651961,0.07098947,0.00910325,0.08030479,0.02688246,0.01080032,0.29917166,0.05165373,0.27788539,0.0914316,0.08270837,0.04556014,0.02249872,0.01570382,0.01248335,1.19031973,0.25545047,0.12045951,0.08496038,0.05004627,0.05796961,0.03717439,0.01109978,0.05579407,0.0240485,0.03661212,0.10418853,0.00686711,0.04126464,0.0317948,0.02122397,0.06952394,0.02982071,0.24056482,0.01703308,0.16285563,0.05122887,0.00486879,0.23519132,0.51749273,0.03247187,0.20231923,0.28378491,0.04989885,0.10878124,0.04595261,0.9449769,0.41358048,0.49448121,0.44013878,0.30208341,0.20663635,0.11523371,0.20190849,0.35294672,0.12258284,0.11912635,0.35490359,0.68140989,0.60302896,0.0860382,0.50204061,0.3953975,0.21908809,0.13831939,0.33669367,0.55134774,0.46862955,0.57323303,0.66849339,0.69040195,0.66929482,0.37339349,0.09859126
1.4,0.17687483,0.56722422,0.05515404,0.28752883,0.03733083,0.04040729,0.10606666,0.10837936,0.09837413,0.27018101,0.17481463,0.50066951,0.1038113,0.26545584,0.03399404,0.03017903,0.02825254,0.04726861,0.051771,0.01395784,0.01307127,0.01078455,0.01383165,0.02751737,0.19231893,0.0161025,0.01795024,0.01276755,0.01772149,0.01703967,0.06106069,0.00744332,0.07593889,0.02574327,0.01088966,0.27850319,0.04841599,0.21969629,0.08038198,0.07430819,0.04701916,0.01799215,0.01336288,0.01335527,1.05241058,0.25419129,0.10182129,0.06548138,0.03981752,0.06084762,0.04263329,0.01281948,0.05326629,0.02162302,0.03254857,0.08862905,0.00798908,0.0442262,0.0294759,0.02114419,0.06799624,0.02242907,0.23005891,0.01241348,0.14813149,0.04417006,0.00443994,0.19074862,0.57692741,0.02638398,0.18787402,0.2558746,0.03633857,0.10240059,0.03661559,0.7233311,0.39831604,0.437319,0.33579171,0.29090808,0.21821708,0.10848333,0.17749921,0.33300698,0.12063962,0.09752579,0.37307105,0.66645408,0.62355131,0.08898691,0.49731027,0.37638089,0.21208653,0.15298706,0.31776462,0.48069744,0.41996899,0.54942067,0.63312005,0.61737644,0.62873538,0.34418053,0.08096676
1.5,0.16637585,0.53487383,0.05175225,0.24831879,0.03568351,0.03701125,0.09882266,0.11029007,0.08610335,0.26215363,0.1738807,0.49177426,0.10417115,0.26606899,0.03572715,0.02850925,0.02699472,0.0369953,0.04928348,0.01206676,0.01340807,0.00878789,0.01188818,0.02772482,0.16347515,0.01279153,0.01428814,0.01333455,0.01441915,0.01388945,0.05261139,0.00751259,0.08140865,0.0185595,0.01027197,0.22794918,0.04662461,0.1847722,0.07368277,0.07147676,0.04402987,0.01607687,0.01244245,0.01164034,0.94842573,0.25434274,0.09038343,0.05310467,0.04168481,0.05612654,0.0412951,0.01381971,0.04673443,0.02099937,0.03233022,0.07408047,0.0065136,0.04255095,0.02407281,0.01965119,0.0749578,0.02258358,0.26089705,0.01198755,0.11528835,0.03577881,0.00383523,0.16566979,0.66123757,0.02459036,0.20176438,0.20780075,0.03340724,0.09357652,0.03342255,0.71011598,0.46938951,0.40800619,0.3242363,0.28435329,0.20659861,0.10461775,0.158233,0.27407737,0.11031749,0.07621035,0.43710494,0.537223,0.63315407,0.09607382,0.46935909,0.37020137,0.19765222,0.14046112,0.29279525,0.45443266,0.39587383,0.51790591,0.57747817,0.49588513,0.52873051,0.31541144,0.08185225
1.6,0.1584689,0.52129401,0.04817318,0.24806713,0.03075612,0.03259888,0.08120442,0.09208529,0.09647401,0.24471311,0.19530641,0.4622554,0.09071985,0.25311895,0.03279048,0.02613849,0.02650989,0.02951307,0.04752139,0.01015078,0.01375505,0.01044806,0.01183676,0.02946747,0.13177801,0.01197617,0.01236219,0.01080007,0.01245083,0.01142772,0.04750011,0.0077799,0.08621306,0.01761265,0.00941727,0.16404665,0.03870474,0.15374679,0.06476745,0.06094726,0.04294526,0.01698158,0.01145289,0.01111891,0.85008152,0.2378558,0.08465611,0.04609671,0.04354127,0.0545989,0.02845806,0.01302057,0.03988244,0.02108549,0.02882271,0.06156165,0.00576572,0.05495411,0.01903687,0.01816537,0.06999292,0.0222916,0.2685474,0.0109748,0.08973129,0.03253025,0.00369469,0.14244489,0.6931226,0.02640003,0.20907484,0.19830947,0.03167979,0.09140416,0.02924552,0.73457609,0.49868786,0.39558179,0.3408405,0.27425025,0.19063688,0.09792692,0.13534971,0.23824972,0.09837963,0.06456586,0.53415709,0.43845619,0.63400414,0.10938602,0.43712272,0.34222631,0.17943636,0.13803193,0.27094268,0.47732397,0.400819,0.50304016,0.53235101,0.42168929,0.48062909,0.28499249,0.07674793
